Pos	Name	Rep	Cp
A24	Ait-14	#1	24.08
B24	Ait-14	#1	24.16
C24	Ait-14	#1	24.01
J8	Ait-14	#2	24.14
K8	Ait-14	#2	24.23
L8	Ait-14	#2	24.14
J10	Ait-14	#3	22.02
K10	Ait-14	#3	22.08
L10	Ait-14	#3	22.06
D2	Ait-9	#1	24.34
E2	Ait-9	#1	24.52
F2	Ait-9	#1	24.33
J12	Ait-9	#2	25.88
K12	Ait-9	#2	25.87
L12	Ait-9	#2	25.94
J14	Ait-9	#3	23.83
K14	Ait-9	#3	23.91
L14	Ait-9	#3	23.88
D4	Arb-0	#1	25.62
E4	Arb-0	#1	25.61
F4	Arb-0	#1	25.63
J16	Arb-0	#2	25.14
K16	Arb-0	#2	25.25
L16	Arb-0	#2	25.15
J18	Arb-0	#3	24.89
K18	Arb-0	#3	24.91
L18	Arb-0	#3	25.05
A2	Cvi-0	#1	26.60
B2	Cvi-0	#1	26.46
C2	Cvi-0	#1	26.46
D12	Cvi-0	#2	25.28
E12	Cvi-0	#2	25.52
F12	Cvi-0	#2	25.51
D14	Cvi-0	#3	25.13
E14	Cvi-0	#3	25.21
F14	Cvi-0	#3	25.13
A18	Col-0	#1	30.72
B18	Col-0	#1	30.82
C18	Col-0	#1	30.47
G20	Col-0	#2	29.98
H20	Col-0	#2	30.32
I20	Col-0	#2	30.45
G22	Col-0	#3	29.79
H22	Col-0	#3	29.92
I22	Col-0	#3	30.07
D6	Elh-46	#1	25.03
E6	Elh-46	#1	25.05
F6	Elh-46	#1	25.05
J20	Elh-46	#2	25.13
K20	Elh-46	#2	25.18
L20	Elh-46	#2	25.20
J22	Elh-46	#3	25.63
K22	Elh-46	#3	25.61
L22	Elh-46	#3	25.71
A4	F10-1-3	#1	28.94
B4	F10-1-3	#1	28.86
C4	F10-1-3	#1	28.75
D16	F10-1-3	#2	26.79
E16	F10-1-3	#2	26.93
F16	F10-1-3	#2	26.91
D18	F10-1-3	#3	28.31
E18	F10-1-3	#3	28.13
F18	F10-1-3	#3	28.08
A6	F13-8	#1	28.55
B6	F13-8	#1	28.26
C6	F13-8	#1	28.24
D20	F13-8	#2	26.57
E20	F13-8	#2	26.61
F20	F13-8	#2	26.66
D22	F13-8	#3	26.66
E22	F13-8	#3	26.62
F22	F13-8	#3	26.69
A8	F3-2	#1	28.65
B8	F3-2	#1	28.53
C8	F3-2	#1	28.49
D24	F3-2	#2	27.00
E24	F3-2	#2	26.93
F24	F3-2	#2	27.10
G2	F3-2	#3	26.88
H2	F3-2	#3	26.84
I2	F3-2	#3	26.99
A10	F9-2	#1	28.74
B10	F9-2	#1	28.54
C10	F9-2	#1	28.55
G4	F9-2	#2	27.49
H4	F9-2	#2	27.36
I4	F9-2	#2	27.35
G6	F9-2	#3	27.90
H6	F9-2	#3	28.05
I6	F9-2	#3	27.85
A22	FRI+FLC+	#1	25.06
B22	FRI+FLC+	#1	25.16
C22	FRI+FLC+	#1	24.94
J4	FRI+FLC+	#2	25.06
K4	FRI+FLC+	#2	25.12
L4	FRI+FLC+	#2	25.07
J6	FRI+FLC+	#3	25.75
K6	FRI+FLC+	#3	25.81
L6	FRI+FLC+	#3	25.73
A20	FRI+FLC-	#1	29.37
B20	FRI+FLC-	#1	29.36
C20	FRI+FLC-	#1	29.07
G24	FRI+FLC-	#2	28.72
H24	FRI+FLC-	#2	28.73
I24	FRI+FLC-	#2	28.72
J2	FRI+FLC-	#3	29.04
K2	FRI+FLC-	#3	29.03
L2	FRI+FLC-	#3	29.13
A12	S1-1	#1	26.89
B12	S1-1	#1	26.83
C12	S1-1	#1	26.76
G8	S1-1	#2	25.22
H8	S1-1	#2	25.49
I8	S1-1	#2	25.25
G10	S1-1	#3	25.59
H10	S1-1	#3	25.86
I10	S1-1	#3	25.74
A14	S15-3	#1	24.96
B14	S15-3	#1	25.00
C14	S15-3	#1	24.75
G12	S15-3	#2	26.45
H12	S15-3	#2	26.50
I12	S15-3	#2	26.32
G14	S15-3	#3	25.64
H14	S15-3	#3	25.62
I14	S15-3	#3	25.60
A16	S5-10	#1	24.29
B16	S5-10	#1	24.16
C16	S5-10	#1	24.18
G16	S5-10	#2	24.20
H16	S5-10	#2	24.34
I16	S5-10	#2	24.34
G18	S5-10	#3	23.70
H18	S5-10	#3	23.80
I18	S5-10	#3	23.76
D8	Set-0	#1	25.63
E8	Set-0	#1	25.50
F8	Set-0	#1	25.53
J24	Set-0	#2	26.07
K24	Set-0	#2	26.15
L24	Set-0	#2	26.15
M2	Set-0	#3	25.86
N2	Set-0	#3	25.74
O2	Set-0	#3	25.86
D10	Set-6	#1	25.64
E10	Set-6	#1	25.62
F10	Set-6	#1	25.62
M4	Set-6	#2	24.31
N4	Set-6	#2	24.28
O4	Set-6	#2	24.32
M6	Set-6	#3	23.97
N6	Set-6	#3	23.83
O6	Set-6	#3	23.98
