Pos	Name	Rep	Cp
A23	Ait-14	#1	27.92
B23	Ait-14	#1	27.86
C23	Ait-14	#1	27.91
J7	Ait-14	#2	28.17
K7	Ait-14	#2	28.96
L7	Ait-14	#2	28.47
J9	Ait-14	#3	26.02
K9	Ait-14	#3	26.77
L9	Ait-14	#3	26.23
D1	Ait-9	#1	27.36
E1	Ait-9	#1	27.38
F1	Ait-9	#1	27.38
J11	Ait-9	#2	28.78
K11	Ait-9	#2	29.81
L11	Ait-9	#2	29.14
J13	Ait-9	#3	26.83
K13	Ait-9	#3	28.03
L13	Ait-9	#3	27.22
D3	Arb-0	#1	27.15
E3	Arb-0	#1	27.00
F3	Arb-0	#1	27.04
J15	Arb-0	#2	26.95
K15	Arb-0	#2	28.52
L15	Arb-0	#2	27.05
J17	Arb-0	#3	26.92
K17	Arb-0	#3	26.91
L17	Arb-0	#3	27.01
A1	Cvi-0	#1	27.90
B1	Cvi-0	#1	27.96
C1	Cvi-0	#1	27.86
D11	Cvi-0	#2	26.98
E11	Cvi-0	#2	27.04
F11	Cvi-0	#2	26.87
D13	Cvi-0	#3	27.04
E13	Cvi-0	#3	26.91
F13	Cvi-0	#3	26.72
A17	Col-0	#1	26.60
B17	Col-0	#1	26.56
C17	Col-0	#1	26.71
G19	Col-0	#2	26.55
H19	Col-0	#2	26.55
I19	Col-0	#2	26.54
G21	Col-0	#3	26.59
H21	Col-0	#3	26.64
I21	Col-0	#3	26.54
D5	Elh-46	#1	27.06
E5	Elh-46	#1	27.15
F5	Elh-46	#1	27.00
J19	Elh-46	#2	27.24
K19	Elh-46	#2	27.23
L19	Elh-46	#2	27.17
J21	Elh-46	#3	27.36
K21	Elh-46	#3	27.26
L21	Elh-46	#3	27.48
A3	F10-1-3	#1	28.76
B3	F10-1-3	#1	28.54
C3	F10-1-3	#1	28.91
D15	F10-1-3	#2	26.64
E15	F10-1-3	#2	26.76
F15	F10-1-3	#2	26.58
D17	F10-1-3	#3	27.65
E17	F10-1-3	#3	27.64
F17	F10-1-3	#3	27.62
A5	F13-8	#1	27.94
B5	F13-8	#1	27.97
C5	F13-8	#1	27.79
D19	F13-8	#2	26.08
E19	F13-8	#2	26.10
F19	F13-8	#2	26.26
D21	F13-8	#3	26.25
E21	F13-8	#3	26.24
F21	F13-8	#3	26.37
A7	F3-2	#1	28.32
B7	F3-2	#1	28.12
C7	F3-2	#1	28.13
D23	F3-2	#2	26.71
E23	F3-2	#2	26.74
F23	F3-2	#2	26.73
G1	F3-2	#3	26.66
H1	F3-2	#3	26.68
I1	F3-2	#3	26.73
A9	F9-2	#1	28.37
B9	F9-2	#1	28.56
C9	F9-2	#1	28.23
G3	F9-2	#2	26.96
H3	F9-2	#2	26.98
I3	F9-2	#2	27.10
G5	F9-2	#3	27.54
H5	F9-2	#3	27.50
I5	F9-2	#3	27.49
A21	FRI+FLC+	#1	27.10
B21	FRI+FLC+	#1	26.96
C21	FRI+FLC+	#1	27.09
J3	FRI+FLC+	#2	26.65
K3	FRI+FLC+	#2	26.96
L3	FRI+FLC+	#2	26.87
J5	FRI+FLC+	#3	27.26
K5	FRI+FLC+	#3	27.78
L5	FRI+FLC+	#3	27.57
A19	FRI+FLC-	#1	26.81
B19	FRI+FLC-	#1	26.67
C19	FRI+FLC-	#1	26.68
G23	FRI+FLC-	#2	26.31
H23	FRI+FLC-	#2	26.49
I23	FRI+FLC-	#2	26.37
J1	FRI+FLC-	#3	26.59
K1	FRI+FLC-	#3	26.84
L1	FRI+FLC-	#3	26.84
A11	S1-1	#1	28.44
B11	S1-1	#1	28.43
C11	S1-1	#1	28.21
G7	S1-1	#2	26.91
H7	S1-1	#2	26.93
I7	S1-1	#2	26.97
G9	S1-1	#3	27.20
H9	S1-1	#3	27.31
I9	S1-1	#3	27.27
A13	S15-3	#1	26.75
B13	S15-3	#1	26.81
C13	S15-3	#1	26.48
G11	S15-3	#2	28.01
H11	S15-3	#2	28.08
I11	S15-3	#2	28.02
G13	S15-3	#3	26.76
H13	S15-3	#3	26.82
I13	S15-3	#3	26.93
A15	S5-10	#1	27.02
B15	S5-10	#1	27.07
C15	S5-10	#1	26.57
G15	S5-10	#2	26.69
H15	S5-10	#2	26.72
I15	S5-10	#2	26.84
G17	S5-10	#3	26.36
H17	S5-10	#3	26.34
I17	S5-10	#3	26.28
D7	Set-0	#1	26.98
E7	Set-0	#1	26.98
F7	Set-0	#1	26.85
J23	Set-0	#2	27.60
K23	Set-0	#2	27.62
L23	Set-0	#2	27.71
M1	Set-0	#3	27.19
N1	Set-0	#3	27.23
O1	Set-0	#3	27.12
D9	Set-6	#1	27.83
E9	Set-6	#1	27.90
F9	Set-6	#1	27.77
M3	Set-6	#2	27.06
N3	Set-6	#2	27.11
O3	Set-6	#2	27.01
M5	Set-6	#3	26.68
N5	Set-6	#3	26.67
O5	Set-6	#3	26.70
