Accession	Replicate	Cp_FLC	Cp_PP2A	∆_FLC	∆_PP2A	Ratio
Ait-14	#1	24.08	27.91	0.990000000000002	-0.8200000000000003	3.230070053771471
Ait-14	#2	24.14	28.47	0.9299999999999997	-1.379999999999999	4.4337213924894066
Ait-14	#3	22.06	26.23	3.0100000000000016	0.8599999999999994	4.187627241221531
Ait-9	#1	24.34	27.38	0.7300000000000004	-0.28999999999999915	1.9434085245031276
Ait-9	#2	25.88	29.14	-0.8099999999999987	-2.0500000000000007	2.162589516979371
Ait-9	#3	23.88	27.22	1.1900000000000013	-0.129999999999999	2.375326709637608
Arb-0	#1	25.62	27.04	-0.5500000000000007	0.05000000000000071	0.6747328926416832
Arb-0	#2	25.15	27.05	-0.0799999999999983	0.03999999999999915	0.924924187975332
Arb-0	#3	24.91	26.92	0.16000000000000014	0.16999999999999815	0.9970793837405802
Col-0	#1	30.72	26.6	-5.649999999999999	0.48999999999999844	0.017833950000936478
Col-0	#2	30.32	26.55	-5.25	0.5399999999999991	0.022472887123677805
Col-0	#3	29.92	26.59	-4.850000000000001	0.5	0.029986865543487243
Cvi-0	#1	26.46	27.9	-1.3900000000000006	-0.8099999999999987	0.6711556126461092
Cvi-0	#2	25.51	26.98	-0.4400000000000013	0.10999999999999943	0.6981829978435697
Cvi-0	#3	25.13	26.91	-0.05999999999999872	0.17999999999999972	0.8573236593965373
Elh-46	#1	25.05	27.06	0.019999999999999574	0.030000000000001137	0.994086526225718
Elh-46	#2	25.18	27.23	-0.10999999999999943	-0.14000000000000057	1.0168600145056075
Elh-46	#3	25.63	27.36	-0.5599999999999987	-0.2699999999999996	0.8216191169110014
F10-1-3	#1	28.86	28.76	-3.789999999999999	-1.6700000000000017	0.23935646850112685
F10-1-3	#2	26.91	26.64	-1.8399999999999999	0.4499999999999993	0.22401142584292735
F10-1-3	#3	28.13	27.64	-3.0599999999999987	-0.5500000000000007	0.18972397329691465
F13-8	#1	28.26	27.94	-3.1900000000000013	-0.8500000000000014	0.21079938936636874
F13-8	#2	26.61	26.1	-1.5399999999999991	0.9899999999999984	0.19354061011709645
F13-8	#3	26.66	26.25	-1.5899999999999999	0.8399999999999999	0.2060293223135981
F3-2	#1	28.53	28.13	-3.460000000000001	-1.0399999999999991	0.19918331088644756
F3-2	#2	27.0	26.73	-1.9299999999999997	0.35999999999999943	0.22357893791783226
F3-2	#3	26.88	26.68	-1.8099999999999987	0.41000000000000014	0.2343614454744127
F9-2	#1	28.55	28.37	-3.4800000000000004	-1.2800000000000011	0.2290010484977358
F9-2	#2	27.36	26.98	-2.289999999999999	0.10999999999999943	0.20686558562967333
F9-2	#3	27.9	27.5	-2.8299999999999983	-0.41000000000000014	0.20189609462585723
FRI+FLC+	#1	25.06	27.09	0.010000000000001563	0.0	1.0065968641127467
FRI+FLC+	#2	25.07	26.87	0.0	0.21999999999999886	0.8694186844354707
FRI+FLC+	#3	25.75	27.57	-0.6799999999999997	-0.4800000000000004	0.8677854611079959
FRI+FLC-	#1	29.36	26.68	-4.289999999999999	0.41000000000000014	0.045888519005346406
FRI+FLC-	#2	28.72	26.37	-3.6499999999999986	0.7199999999999989	0.057389020503479014
FRI+FLC-	#3	29.04	26.84	-3.969999999999999	0.25	0.06270172569288363
S1-1	#1	26.83	28.43	-1.759999999999998	-1.3399999999999999	0.7371739158697665
S1-1	#2	25.25	26.93	-0.17999999999999972	0.16000000000000014	0.8024215267921373
S1-1	#3	25.74	27.27	-0.6699999999999982	-0.17999999999999972	0.7217692164297406
S15-3	#1	24.96	26.75	0.10999999999999943	0.33999999999999986	0.8659492457850217
S15-3	#2	26.45	28.02	-1.379999999999999	-0.9299999999999997	0.7291663769807063
S15-3	#3	25.62	26.82	-0.5500000000000007	0.2699999999999996	0.5866253838658719
S5-10	#1	24.18	27.02	0.8900000000000006	0.07000000000000028	1.7171560643366575
S5-10	#2	24.34	26.72	0.7300000000000004	0.370000000000001	1.2771767711599957
S5-10	#3	23.76	26.34	1.3099999999999987	0.75	1.4686087329032729
Set-0	#1	25.53	26.98	-0.46000000000000085	0.10999999999999943	0.689061717795998
Set-0	#2	26.15	27.62	-1.0799999999999983	-0.5300000000000011	0.6886539517494303
Set-0	#3	25.86	27.19	-0.7899999999999991	-0.10000000000000142	0.633917763546624
Set-6	#1	25.62	27.83	-0.5500000000000007	-0.7399999999999984	1.115206081063867
Set-6	#2	24.31	27.06	0.7600000000000016	0.030000000000001137	1.617098953671019
Set-6	#3	23.97	26.68	1.1000000000000014	0.41000000000000014	1.5880272012288188
