Long	Lat	GPS	Site
-25.040916	17.103658	27	S1
-25.028522	17.106326	11	S10
-25.027166	17.106096	13	S10
-25.027623	17.106277	14	S10
-25.028007	17.10631	15	S10
-25.02624	17.106848	16	S10
-25.024566	17.106623	19	S10
-25.023233	17.106685	20	S10
-25.023058	17.106707	21	S10
-25.022778	17.10682	22	S10
-25.025217	17.105562	24	S10
-25.027166	17.106096	NA	S10
-25.024566	17.106623	NA	S10
-25.076404	17.114951	35	S11
-25.077856	17.114273	36	S11
-25.077737	17.113896	37	S11
-25.077231	17.114777	38	S11
-25.0771	17.114556	39	S11
-25.085457	17.1104	NA	S15
-25.081029	17.10832	28	S16
-25.079073	17.10684	29	S17
-25.080796	17.115385	8	S18
-25.061835	17.103641	NA	S20
-25.077707	17.105516	NA	S23
-25.076925	17.105766	NA	S24
-25.075684	17.104806	NA	S24
-25.082728	17.107313	NA	S25
-25.025188	17.102631	NA	S28
-25.020573	17.096058	NA	S29
-25.01963	17.096138	NA	S29
-25.020324	17.095911	NA	S29
-25.064251	17.117924	1	S3
-25.076491	17.113315	6	S4
#-25.076617	17.113145	7	S4-dwarf
-25.08812	17.105902	33	S5
-25.09004	17.10326	NA	S7
-25.03204	17.10203	NA	S8
-25.0308	17.10633	NA	S9
-25.08173	17.10763	204	S25
-25.08092	17.11541	206	S18
-25.02241	17.10677	211	S10
-25.08158	17.11566	208	S19
-25.02426	17.10608	212	S21
-25.02743	17.10594	213	S21
-25.02795	17.09857	214	S27
-25.02275	17.10684	210	S10
-25.06094	17.11265	NA	Cratera
