#!/bin/bash
# for file in [1,2]*;do arr=(${file//_/ }); echo $arr; done
# Lane 4073
4073_A	S26-3
4073_B	S26-4
4073_C	S26-6
4073_D	S26-7
4073_E	S26-8
4073_F	S26-10
4073_G	S15-3xF9-2
4073_H	S15-3xF3-2
4073_I	S21-8
4073_J	S21-9
4073_K	S21-10
4073_L	S21-11
4073_M	Cvi-0
# Lane January 2019
3968_A	S1-501
3968_B	S1-502
3968_C	S1-504
3968_D	S1-506
3968_E	S8-501
3968_F	S8-502
3968_G	S8-503
3968_H	S8-504
3968_I	S8-505
3968_J	S8-506
3968_K	S20-201
3968_L	S20-203
3968_M	S20-204
3968_N	S20-205
3968_O	S20-206
3968_P	S20-207
3968_Q	S20-208
3968_R	S20-209
3968_S	S20-210
3968_T	S27-202
3968_U	S27-203
3968_V	S27-204
3968_W	S27-205
3968_X	S28-1
3968_Y	S28-201
3968_Z	S28-202
3968_AA	S28-203
3968_AB	S28-3
3968_AC	S28-4
3968_AD	S28-5
3968_AE	S29-1-1
3968_AF	S29-1-4
3968_AG	S29-2-1
3968_AH	S29-2-4
3968_AI	S29-3-2
3968_AJ	S29-4-3
3968_AK	S29-5-1
3968_AL	S29-5-4
3968_AM	S23-101
3968_AN	S23-105
3968_AO	S24-1-102
3968_AP	S24-1-103
3968_AQ	S25-3
3968_AR	S25-5
3968_AS	F1-201
3968_AT	F1-203
3968_AU	F2-301
3968_AV	F2-303
3968_AW	F3-T1-1115-2
3968_AX	F8-301
3968_AY	F8-302
3968_AZ	F8-303
3968_BA	F10-10-201
3968_BB	F10-10-202
3968_BC	F10-12-1
3968_BD	F10-13-3
3968_BE	F10-13-4
3968_BF	F10-15-2
3968_BG	F10-18-3
3968_BH	F10-18-4
3968_BI	F10-9-202
3968_BJ	F11-4
3968_BK	F12-104
3968_BL	F12-201
3968_BM	F12-301
3968_BN	F13-10
3968_BO	F13-11
3968_BP	F13-301
3968_BQ	F13-302
3968_BR	F13-303
3968_BS	F13-4
3968_BT	F13-7
3968_BU	F13-T1-1115-12
3968_BV	F16-12
3968_BW	F16-13
3968_BX	F16-15
3968_BY	F16-16
3968_BZ	F16-23
3968_CA	F16-24
3968_CB	ET33-3
3968_CC	KE65-4
3968_CD	ET126-1
3968_CE	ET130-5
3968_CF	ET131-4
3968_CG	ET147-6
3968_CH	ET157-16
3968_CI	ET27-1
3968_CJ	ET35-4
3968_CK	ET35-5
3968_CL	ET36-3
3968_CM	ET41-1
3968_CN	KE26-3
3968_CO	ET53-9
3968_CP	ET148-10
3968_CQ	ET143-12
#Levant samples
3593_A	Lev1
3593_B	Lev2
3593_C	Lev3
3593_D	Lev4
3593_F	Lev5
# Lane june 2018
3619_A	F3-T1-1115-12
3619_B	F3-T1-1115-3
3619_C	F13-5
3619_D	F3-T2-1115-8
3619_E	F16-11
3619_F	F12-121
3619_G	F10-14-2
3619_H	F12-102
3619_I	F12-111
3619_J	F13-T1-0217-223
3619_K	F15-2
3619_L	F11-6
3619_M	F5-T1-1115-10
3619_N	F5-T1-1115-55
3619_O	F12-119
3619_P	S10-open3
3619_Q	F14-3
3619_R	F16-6
3619_S	F10-10-101
3619_T	F10-11-1
3619_U	F10-11-2
3619_V	F10-11-3
3619_W	F13-T1-0217-209
3619_X	F3-T1-1115-20
# Lane april 2 2018
3541_A	F3-T2-1115-13
3541_B	F3-T1-1115-28
3541_C	F15-4
3541_D	F5-T1-1115-25
3541_E	F15-3
3541_F	S21-1
3541_G	F12-118
3541_H	S10-open-2
3541_I	F4B-17
3541_J	F4B-16
3541_K	F12-115
3541_L	S24-3-2
#3541_M	F4B-15
3541_N	S10-open-4
3541_O	F4-101
3541_P	F4-2
3541_Q	F4-13
3541_R	F4-106
3541_S	F8B-1
3541_T	S25-1
3541_U	F2-6
3541_V	F4-12
3541_W	F4-4
3541_X	F16-5
3541_Y	S20-13
3541_Z	F4-105
3541_AA	F16-21
3541_AB	S23-4
3541_AC	F14-2
3541_AD	F16-3
3541_AE	F1-7
3541_AF	S20-7
# Lane april 1 2018
#3536_A	F13-T1-0217-222
3536_B	F13-T1-0217-210
3536_C	F13-T1-0217-221
3536_D	F15-1
3536_E	F10-13-1
3536_F	F10-13-2
3536_G	F10-10-102
3536_H	F4-102	chechWithCelia
3536_I	F13-T1-1115-14
3536_J	F4-103	chechWithCelia
3536_K	F10-18-1
3536_L	F10-19-1
3536_M	F2-SS1	chechWithCelia
3536_N	F12-103
3536_O	F4-104	chechWithCelia
3536_P	F12-116
3536_Q	F12-109
3536_R	F16-14	chechWithCelia
3536_S	F12-107
3536_T	F12-112
3536_U	F12-117
3536_V	F12-110
3536_W	S24-1-1
3536_X	SCratera
3536_Y	F16-7
3536_Z	F14-1
3536_AA	F16-25
3536_AB	F16-1
3536_AC	F13-T1-1115-26
3536_AD	F13-T1-1115-7
3536_AE	S20-9
3536_AF	SCVI_IND
# Africa - 8
2891_A	ZA1.1
2891_B	KE40
2891_C	KE33.11
2891_D	KE25.2
2891_E	KE54.2
2891_F	KE67.2
2891_G	ZA16.9
2891_H	KE2.1
# nov 2017 - Koeln
2876_A	S15-T3-15-10
2876_B	S17-1
2876_C	S15-T1-15-11
2876_D	S11-60
2876_E	S15-T2-15-31
2876_F	S15-T2-15-21
2876_G	S15-T3-15-27
2876_H	S16-T1-15-6
2876_I	S16-T1-15-59
2876_J	S16-T1-15-47
2876_K	S16-L-15-4
2876_L	S16-T1-15-37
2876_M	S15-T1-15-4
2876_N	S15-T1-15-31
2876_O	S15-T1-15-25
2876_P	S16-T2-15-1
2876_Q	S16-T1-15-11
2876_R	S15-T2-15-1
2876_S	S15-T3-15-2
2876_T	S7-T1-15-70
2876_U	S19-T2-15-8
2876_V	S7-T1-15-89
2876_W	S11-R2-T2-15-233
2876_X	S15-T2-15-41
2876_Y	S4-T1-15-1
2876_Z	S7-T1-15-28
2876_AA	S19-T2-15-13
2876_AB	S15-T2-15-13
2876_AC	S8-T1-15-23
2876_AD	S7-T1-15-2
2876_AE	S5-S2-15-2
2876_AF	S7-T1-15-47
2876_AG	S15-T3-15-18
2876_AH	F3-2
2876_AI	C11-3
2876_AJ	C10-1
2876_AK	S4-B2-2
2876_AL	S1-1
2876_AM	S10-101
2876_AN	S11-100
2876_AO	S11-105
2876_AP	S11-28
#2876_AQ	S16-10
2876_AR	S16-2
2876_AS	S16-3
2876_AT	S3-100
2876_AU	S5-10
2876_AV	S7-B100
2876_AW	S7-T-3
2876_AX	A_M4-2
# Herbarium
AH0001	ZA-h1
AH0002	ZA-h2
AH0003	ZA-h3
AH0004	ZA-h4
AH0006	ZA-h5
AH0007	Tanz-h1
AH0008	Tanz-h2
AH0009	Tanz-h3
AH0011	Alg-h1
# The new ones from Cologne
21131	Mt0-1	2113_A
21132	Mt0-2	2113_B
21133	Mt0-3	2113_C
21134	Mt0-4	2113_D
21135	Aitba	2113_E
21136	Bor-0	2113_F
21137	Ita-0	2113_G
21138	Plateres	2113_H
21139	Toufl-1	2113_I
211399	Tnz2-75925	2113_J
#
37480	C25-7
37479	H22-1
37478	C6-8
37477	T102-2
37476	H24-1
37475	H10-3
37474	H17-9
37473	H7-2_exM_nma-Meh-4
37472	M_nma-Meh-4_exH7-2
37471	M_r-Ket-12ex_M_sma-Elk-3
37470	M_sma-Elk-3exM_r-Ket-12
37469	M_sma-Elk-20
37468	M_sma-Elk-5_exH2-1
37467	H2-1_exM_sma-Elk-5
37466	C7-1
37465	H11-1
37464	H16-3
37463	C22-1
37462	H3-1
37461	C2-1
37460	C10-2
37459	C27-1
37458	S11-47
#37457  M_r-Bab0_2      contaminated
37456	S11-48
37455	H9-1
37454	H26-2
37453	G103-1
37452	C4-4
37451	G104-3
37450	C19-1
#
#35628	T104-7
#35627	H13-1
#35626	H19-2
35625	M_sma-Azr-16
35624	M_nma-Tiz-7
35623	M_sma-Agl-2
35622	M_sma-Azr-13
35621	M_sma-Elk-28
35620	M_nma-Taz-11
35619	M_sma-Agl-1
35618	M_sma-Ifr-6
35617	M_r-Bab-3
35616	M_ha-Elh-2
35615	M_sma-Agl-3
35614	M_r-Zin-4
35613	M_ha-Elh-52
35612	M_nma-Tah-4
35611	M_sma-Azr-5
35610	M_sma-Ifr-4
35609	M_nma-Taz-16
35608	M_sma-Khe-32
35607	M_sma-Agl-5
35606	M_ha-Elh-23
35605	M_sma-Agl-9
35604	M_ha-Arb-2
35603	M_nma-Meh-7
35602	M_ha-Set-6
35601	M_ha-Elh-39
35600	M_sma-ifr-3
35599	M_sma-Azr-11
35598	M_ha-Elh-15
#35597	H1-1
35596	M_ha-Elh-33
35595	M_ha-Elh-46
35594	M_sma-Azr-7
35593	M_nma-Taz-18
35523	M_ha-Elh-10
35522	M_nma-Bba-2
35521	M_nma-Bba-1
35520	Tanz-4003
35519	S7-B2
35518	S7-B12
35517	S11-19
35516	S11-57	suspicious, clustering close to S1-8
35515	F7-B2
35514	F7-B12
