Long	Lat	Pop
-5.42698	35.4528	R_Zin
-5.02369	35.04256	R_Bab
-4.83141	34.99519	R_Bbe
-4.66611	34.96076	R_Ket
-4.10258	34.09166	NMA_Taz
-4.22245	34.05293	NMA_Tah
-4.0839	34.01934	NMA_Bba
-4.05153	33.9561	NMA_Meh
-4.02647	33.8723	NMA_Tiz
-5.17465	33.55006	SMA_Ifr
-5.17911	33.42357	SMA_Azr
-5.44856	32.97243	SMA_Agl
-5.51027	32.92735	SMA_Khe
-6.014969	32.53516	SMA_Elk
-6.275309	32.07853	SMA_Oua
-6.22955	32.04208	SMA_Til
-7.40644	31.47197	HA_Elh
-7.5262	31.41988	HA_Arb
-7.81285	31.2366	HA_Ait
-7.67361	31.22656	HA_Set
