top_age,center_age,temp
500,750,0.4
1000,1250,0.8
1500,1750,-0.2
2000,2250,-0.8
2500,2750,-0.4
3000,3250,0.4
3500,3750,0.4
4000,4250,0.3
4500,4750,-0.3
5000,5250,0.4
5500,5750,-0.4
6000,6250,-0.5
6500,6750,0
7000,7250,-0.3
7500,7750,-0.4
8000,8250,-0.7
8500,8750,-0.4
9000,9250,0.3
9500,9750,0.7
10000,10250,0.8
10500,10750,0.8
11000,11250,0.5
11500,11750,0
12000,12250,-1.6
12500,12750,-1.6
13000,13250,-3.3
13500,13750,-3.1
14000,14250,-2.7
14500,14750,-2.6
15000,15250,-3.8
15500,15750,-3.1
16000,16250,-4.3
16500,16750,-6
17000,17250,-7.3
17500,17750,-7.3
18000,18250,-8.7
18500,18750,-9.1
19000,19250,-9.2
19500,19750,-9.5
20000,20250,-7.7
20500,20750,-8.5
21000,21250,-7.6
21500,21750,-7.4
22000,22250,-7.7
22500,22750,-8
23000,23250,-7.3
23500,23750,-7.6
24000,24250,-8.8
24500,24750,-8.6
25000,25250,-8.4
25500,25750,-8.4
26000,26250,-7.1
26500,26750,-8.2
27000,27250,-7.2
27500,27750,-8
28000,28250,-7.3
28500,28750,-6.8
29000,29250,-6.7
29500,29750,-6.5
30000,30250,-7.7
30500,30750,-7.7
31000,31250,-9.3
31500,31750,-7.6
32000,32250,-8
32500,32750,-7
33000,33250,-6.2
33500,33750,-6.5
34000,34250,-6.8
34500,34750,-5.9
35000,35250,-6.5
35500,35750,-7
36000,36250,-6.8
36500,36750,-5.1
37000,37250,-4.4
37500,37750,-5.9
38000,38250,-5.3
38500,38750,-6.2
39000,39250,-7.2
39500,39750,-7.6
40000,40250,-7
40500,40750,-6.4
41000,41250,-6.3
41500,41750,-6.1
42000,42250,-6.4
42500,42750,-6.5
43000,43250,-6.7
43500,43750,-6.8
44000,44250,-6.9
44500,44750,-6
45000,45250,-6.5
45500,45750,-5.8
46000,46250,-7.2
46500,46750,-6.6
47000,47250,-6
47500,47750,-7.3
48000,48250,-6
48500,48750,-6.1
49000,49250,-6.6
49500,49750,-6.2
50000,50250,-6
50500,50750,-5.6
51000,51250,-5.8
51500,51750,-4.5
52000,52250,-4.3
52500,52750,-5.3
53000,53250,-5.6
53500,53750,-5.7
54000,54250,-5.6
54500,54750,-6.2
55000,55250,-6.9
55500,55750,-5.8
56000,56250,-5.1
56500,56750,-4.7
57000,57250,-5
57500,57750,-3.9
58000,58250,-5.1
58500,58750,-4.8
59000,59250,-5.1
59500,59750,-5.9
60000,60250,-5.8
60500,60750,-5.7
61000,61250,-5.9
61500,61750,-7.6
62000,62250,-7.9
62500,62750,-8
63000,63250,-6.3
63500,63750,-6
64000,64250,-7.3
64500,64750,-7.1
65000,65250,-7.4
65500,65750,-8.4
66000,66250,-8.3
66500,66750,-7.8
67000,67250,-7.7
67500,67750,-7.4
68000,68250,-7.3
68500,68750,-6.8
69000,69250,-6.3
69500,69750,-5.8
70000,70250,-5.2
70500,70750,-3.7
71000,71250,-3.2
71500,71750,-4.5
72000,72250,-4.3
72500,72750,-5.5
73000,73250,-5.4
73500,73750,-4.2
74000,74250,-5.7
74500,74750,-4.3
75000,75250,-3.5
75500,75750,-3
76000,76250,-4.2
76500,76750,-5
77000,77250,-5.3
77500,77750,-4.7
78000,78250,-5.6
78500,78750,-4.8
79000,79250,-4.2
79500,79750,-4.4
80000,80250,-3.5
80500,80750,-2.8
81000,81250,-2
81500,81750,-2.7
82000,82250,-2.6
82500,82750,-2.4
83000,83250,-3
83500,83750,-1.2
84000,84250,-1.6
84500,84750,-1.4
85000,85250,-2
85500,85750,-1.7
86000,86250,-2.3
86500,86750,-2.9
87000,87250,-3.7
87500,87750,-4
88000,88250,-3.7
88500,88750,-4.3
89000,89250,-4.5
89500,89750,-4.8
90000,90250,-5.8
90500,90750,-5.5
91000,91250,-4.5
91500,91750,-5.3
92000,92250,-4.9
92500,92750,-3.3
93000,93250,-4.9
93500,93750,-3.2
94000,94250,-3.1
94500,94750,-4.3
95000,95250,-4.2
95500,95750,-4.6
96000,96250,-3.7
96500,96750,-3.7
97000,97250,-2.8
97500,97750,-2.3
98000,98250,-2.7
98500,98750,-2.6
99000,99250,-3.2
99500,99750,-2.5
100000,100250,-2
100500,100750,-2.1
101000,101250,-2.7
101500,101750,-2.3
102000,102250,-2.4
102500,102750,-2.6
103000,103250,-1.8
103500,103750,-1.6
104000,104250,-1.6
104500,104750,-3
105000,105250,-3
105500,105750,-3.7
106000,106250,-3
106500,106750,-1.9
107000,107250,-0.9
107500,107750,-2
108000,108250,-2.1
108500,108750,-1.3
109000,109250,-1.8
109500,109750,-2.6
110000,110250,-2.9
110500,110750,-4.3
111000,111250,-4.3
111500,111750,-4.9
112000,112250,-4.5
112500,112750,-4.3
113000,113250,-3.6
113500,113750,-3.4
114000,114250,-3.6
114500,114750,-2.6
115000,115250,-2.9
115500,115750,-3.1
116000,116250,-2.1
116500,116750,-3
117000,117250,-2
117500,117750,-2.9
118000,118250,-3.3
118500,118750,-2.9
119000,119250,-1.9
119500,119750,-1.1
120000,120250,-0.5
120500,120750,0.1
121000,121250,1.1
121500,121750,0
122000,122250,1.1
122500,122750,1
123000,123250,0.6
123500,123750,1.1
124000,124250,1.5
124500,124750,1.9
125000,125250,1.7
125500,125750,2.6
126000,126250,2
126500,126750,2.3
127000,127250,2.2
127500,127750,1.6
128000,128250,2
128500,128750,1.3
129000,129250,1
129500,129750,2.9
130000,130250,3.4
130500,130750,3.5
131000,131250,3.5
131500,131750,3.6
132000,132250,3.4
132500,132750,0.8
133000,133250,-1
133500,133750,-2.3
134000,134250,-3
134500,134750,-4.5
135000,135250,-5.1
135500,135750,-6.2
136000,136250,-7.1
136500,136750,-7.3
137000,137250,-7.8
137500,137750,-6.9
138000,138250,-7.8
138500,138750,-8.2
139000,139250,-8.2
139500,139750,-8.4
140000,140250,-8.4
140500,140750,-8.6
141000,141250,-8.3
141500,141750,-8.4
142000,142250,-8.1
142500,142750,-8.3
143000,143250,-8.5
143500,143750,-7.4
144000,144250,-7.5
144500,144750,-7.3
145000,145250,-7.4
145500,145750,-7.4
146000,146250,-7.2
146500,146750,-7.3
147000,147250,-6.6
147500,147750,-6
148000,148250,-5.8
148500,148750,-7.1
149000,149250,-6.3
149500,149750,-6.3
150000,150250,-5.7
150500,150750,-6.1
151000,151250,-5.3
151500,151750,-5.6
152000,152250,-6.3
152500,152750,-7.3
153000,153250,-7.6
153500,153750,-7.7
154000,154250,-7.2
154500,154750,-7.8
155000,155250,-8.2
155500,155750,-8.2
156000,156250,-8.8
156500,156750,-8.6
157000,157250,-8.8
157500,157750,-8.4
158000,158250,-8.3
158500,158750,-8.2
159000,159250,-8.2
159500,159750,-5.9
160000,160250,-6.8
160500,160750,-7.1
161000,161250,-6.6
161500,161750,-7
162000,162250,-7.8
162500,162750,-6.5
163000,163250,-5.8
163500,163750,-7.1
164000,164250,-6.9
164500,164750,-7.1
165000,165250,-7.9
165500,165750,-8.3
166000,166250,-8.5
166500,166750,-7.4
167000,167250,-7.1
167500,167750,-7.1
168000,168250,-6
168500,168750,-6.2
169000,169250,-5.7
169500,169750,-7
170000,170250,-6.4
170500,170750,-6.2
171000,171250,-6.6
171500,171750,-7.1
172000,172250,-6.6
172500,172750,-6.2
173000,173250,-6.8
173500,173750,-6.5
174000,174250,-7.9
174500,174750,-8.4
175000,175250,-9.1
175500,175750,-7.5
176000,176250,-6.9
176500,176750,-6.4
177000,177250,-6.1
177500,177750,-5.4
178000,178250,-4.6
178500,178750,-5.1
179000,179250,-5.4
179500,179750,-5.1
180000,180250,-5
180500,180750,-4.2
181000,181250,-7.1
181500,181750,-6.9
182000,182250,-6.7
182500,182750,-8
183000,183250,-7.5
183500,183750,-7.5
184000,184250,-7.3
184500,184750,-6.8
185000,185250,-6.6
185500,185750,-5.3
186000,186250,-6.3
186500,186750,-6.4
187000,187250,-7
187500,187750,-6.8
188000,188250,-4.9
188500,188750,-4.1
189000,189250,-3.9
189500,189750,-2.1
190000,190250,-1.2
190500,190750,-4.7
191000,191250,-4.4
191500,191750,-4.7
192000,192250,-4.8
192500,192750,-5.5
193000,193250,-4.4
193500,193750,-2.4
194000,194250,-2
194500,194750,-2.9
195000,195250,-3.4
195500,195750,-3.4
196000,196250,-2.1
196500,196750,-2.1
197000,197250,-1.6
197500,197750,-1.4
198000,198250,-0.3
198500,198750,-0.5
199000,199250,-1.2
199500,199750,0.1
200000,200250,1.4
200500,200750,-0.8
201000,201250,-0.5
201500,201750,-1.9
202000,202250,-2.3
202500,202750,-2.1
203000,203250,-1.9
203500,203750,-3.1
204000,204250,-4.3
204500,204750,-4.2
205000,205250,-4.1
205500,205750,-3.1
206000,206250,-3
206500,206750,-3.6
207000,207250,-3.1
207500,207750,-3.6
208000,208250,-3.2
208500,208750,-2.3
209000,209250,-3.4
209500,209750,-3.4
210000,210250,-2.1
210500,210750,-2.5
211000,211250,-2.6
211500,211750,-1.6
212000,212250,-1.6
212500,212750,-2.4
213000,213250,-1.4
213500,213750,0.3
214000,214250,-2
214500,214750,-0.7
215000,215250,0.1
215500,215750,-1.1
216000,216250,-0.7
216500,216750,0.2
217000,217250,1.3
217500,217750,1.9
218000,218250,1
218500,218750,-1
219000,219250,-1.9
219500,219750,-1.5
220000,220250,-2.1
220500,220750,-3.1
221000,221250,-3.4
221500,221750,-3.7
222000,222250,-3.3
222500,222750,-4.5
223000,223250,-4.8
223500,223750,-5.5
224000,224250,-5.9
224500,224750,-5.6
225000,225250,-5.5
225500,225750,-6.9
226000,226250,-6.5
226500,226750,-6.4
227000,227250,-5.7
227500,227750,-5.3
228000,228250,-5.4
228500,228750,-3.6
229000,229250,-4.8
229500,229750,-5.8
230000,230250,-5.8
230500,230750,-7.4
231000,231250,-6.1
231500,231750,-5.7
232000,232250,-5.1
232500,232750,-5.9
233000,233250,-5.5
233500,233750,-5.1
234000,234250,-4.5
234500,234750,-5.3
235000,235250,-4.7
235500,235750,-4.1
236000,236250,-3.1
236500,236750,-1.9
237000,237250,-1.2
237500,237750,-2.3
238000,238250,-1.4
238500,238750,-1.7
239000,239250,-1.6
239500,239750,-2.1
240000,240250,-1.6
240500,240750,-0.4
241000,241250,-0.1
241500,241750,0.3
242000,242250,1.4
242500,242750,2.8
243000,243250,3.4
243500,243750,2.5
244000,244250,1.5
244500,244750,-0.8
245000,245250,-1.8
245500,245750,-3
246000,246250,-4
246500,246750,-5.6
247000,247250,-5.8
247500,247750,-5.9
248000,248250,-4.9
248500,248750,-4.1
249000,249250,-4.2
249500,249750,-6.3
250000,250250,-7.3
250500,250750,-7.5
251000,251250,-6.5
251500,251750,-7
252000,252250,-6.8
252500,252750,-7.7
253000,253250,-7.3
253500,253750,-7
254000,254250,-7.4
254500,254750,-7.1
255000,255250,-6.6
255500,255750,-6.3
256000,256250,-6.2
256500,256750,-5.8
257000,257250,-5.9
257500,257750,-5.3
258000,258250,-5.7
258500,258750,-5.8
259000,259250,-6.6
259500,259750,-5.9
260000,260250,-6.4
260500,260750,-7.3
261000,261250,-6.7
261500,261750,-7.2
262000,262250,-5.6
262500,262750,-5.8
263000,263250,-6.2
263500,263750,-6.8
264000,264250,-6.6
264500,264750,-7
265000,265250,-7.4
265500,265750,-7.3
266000,266250,-7.1
