time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	3.897275e-08	1.55891e-07	270249.08796	161.056	330.575419009
1	1.55891e-07	3.5471e-07	11785.8628705	161.056	120.580735058
2	3.5471e-07	6.08278e-07	18.365912847	11.0405	12.0573625471
3	6.08278e-07	9.31672e-07	18.3659	11.0403	12.0554
4	9.31672e-07	1.34412e-06	18.3659	11.0403	12.0554
5	1.34412e-06	1.87015e-06	18.3659	11.0403	12.0554
6	1.87015e-06	2.54102e-06	18.3659	11.0403	12.0554
7	2.54102e-06	3.39664e-06	18.3659	11.0403	12.0554
8	3.39664e-06	4.48788e-06	19.876940536	11.0403	12.2474902293
9	4.48788e-06	5.87961e-06	59.8101727655	11.0403	38.556982836
10	5.87961e-06	7.65459e-06	344.194152797	11.0403	237.942565897
11	7.65459e-06	9.91835e-06	1379.53520436	17.936	1008.54802847
12	9.91835e-06	1.28055e-05	3925.88640939	113.427	2850.28951432
13	1.28055e-05	1.64877e-05	8353.59484505	523.821	5882.11022832
14	1.64877e-05	2.11838e-05	14113.9272962	1791.97	9485.21437982
15	2.11838e-05	2.71732e-05	19988.0563442	4628.88	12768.3278896
16	2.71732e-05	3.48118e-05	24937.0785064	9051.01	15341.5123871
17	3.48118e-05	4.45539e-05	27880.5464414	13991.8	17110.3240632
18	4.45539e-05	5.69788e-05	27591.1197806	17879.4	17702.7892548
19	5.69788e-05	7.28251e-05	24727.6797772	19361.9	16935.8252569
20	7.28251e-05	9.3035e-05	20935.5768056	18198.9	15081.8054879
21	9.3035e-05	0.00011881	17391.7284117	15477.9	12836.8404233
22	0.00011881	0.000151683	14714.9233322	12456.0	10838.7149726
23	0.000151683	0.000193609	13035.9527664	9798.32	9177.09667729
24	0.000193609	0.000247079	13805.6903614	7648.85	7649.43514313
25	0.000247079	0.000315274	16203.6548825	5741.67	6222.85999765
26	0.000315274	0.000402248	11972.7682062	4144.35	4828.45242275
27	0.000402248	0.000513172	799.23945382	2728.9	4250.79
28	0.000513172	0.000654642	18.3659	2728.9	3939.25853214
29	0.000654642	0.000835069	18.3659	3754.37	3611.75
30	0.000835069	0.00106518	18.3659	3754.37	3611.75
31	0.00106518	0.00426072	18.3659	3754.37	3611.75
