time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	3.49995e-08	1.39998e-07	331168.090977	148332.0	246520.741586
1	1.39998e-07	3.18548e-07	336205.0	148332.0	252092.0
2	3.18548e-07	5.46266e-07	339761.39898	148332.0	252092.0
3	5.46266e-07	8.36692e-07	517458.584074	148332.0	113597.028322
4	8.36692e-07	1.20709e-06	103277.030921	148332.0	14.7985
5	1.20709e-06	1.67949e-06	1003.45792358	12.2936	14.7985
6	1.67949e-06	2.28198e-06	19.2943031866	12.2936	14.7985
7	2.28198e-06	3.05037e-06	16.1508	12.2936	14.7985
8	3.05037e-06	4.03036e-06	16.1508	12.2936	14.7985
9	4.03036e-06	5.28021e-06	16.1508	12.2936	16.4768266762
10	5.28021e-06	6.87423e-06	24.3588426293	12.2936	50.6915366586
11	6.87423e-06	8.90721e-06	140.985829274	12.2936	317.279139302
12	8.90721e-06	1.15e-05	762.240831387	13.0046	1338.01687295
13	1.15e-05	1.48068e-05	2474.64808976	107.998	3881.86662282
14	1.48068e-05	1.90242e-05	5295.86681543	605.626	8380.85599685
15	1.90242e-05	2.4403e-05	8705.83618504	2368.88	14383.5104126
16	2.4403e-05	3.12629e-05	12807.8213193	6510.66	20508.8373154
17	3.12629e-05	4.00118e-05	18060.088318	13446.8	24825.0782552
18	4.00118e-05	5.117e-05	23862.4331188	21748.5	25637.612127
19	5.117e-05	6.54009e-05	27142.1162031	25331.5	23125.2172622
20	6.54009e-05	8.35505e-05	25773.8897181	21340.6	19146.7716352
21	8.35505e-05	0.000106698	22668.9157322	16485.6	15369.2554049
22	0.000106698	0.00013622	20413.6736066	13550.2	12235.9381818
23	0.00013622	0.000173871	18930.5575768	11872.1	9607.32097517
24	0.000173871	0.00022189	20037.247341	10322.7	7300.98413636
25	0.00022189	0.000283133	13320.8874436	8669.58	5179.19947788
26	0.000283133	0.00036124	246.394681894	7960.09	3097.76168164
27	0.00036124	0.000460856	31.2438	370.443	2789.32
28	0.000460856	0.000587904	31.2438	370.443	2789.32
29	0.000587904	0.000749937	31.2438	370.443	2789.32
30	0.000749937	0.000956589	31.2438	370.443	2789.32
31	0.000956589	0.003826356	31.2438	370.443	2789.32
