time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	4.10345e-08	1.64138e-07	10.86790832981525	10.4856	9.612123404295543
1	1.64138e-07	3.73476e-07	11.313700000000003	10.4856	10.177301369376673
2	3.73476e-07	6.40459e-07	11.313700000000003	10.4856	10.177373218244778
3	6.40459e-07	9.80963e-07	11.313700000000003	10.4856	10.177387418629698
4	9.80963e-07	1.41523e-06	11.313780604321645	10.4856	10.343593114688668
5	1.41523e-06	1.96909e-06	42.498699898145475	42.9179	39.58004740067948
6	1.96909e-06	2.67546e-06	264.8283373630909	333.579	258.3172733768443
7	2.67546e-06	3.57635e-06	697.5309309401164	1036.27	787.8014843761806
8	3.57635e-06	4.72532e-06	949.8893112713015	1591.47	1320.9681513561875
9	4.72532e-06	6.19068e-06	932.9077403806708	1628.56	1551.1207355566362
10	6.19068e-06	8.05956e-06	1045.9959645089104	1578.16	1772.7640533349202
11	8.05956e-06	1.04431e-05	1818.5642495193056	1946.91	2419.621110546714
12	1.04431e-05	1.3483e-05	3841.60695058822	3237.06	3721.144707614307
13	1.3483e-05	1.736e-05	7051.23177580267	5842.04	5636.410035608835
14	1.736e-05	2.23046e-05	10303.982089832123	9316.15	7942.619703105407
15	2.23046e-05	2.86108e-05	12706.349115530355	12282.2	10399.614610969478
16	2.86108e-05	3.66536e-05	14505.120748809224	14338.6	12677.34704144579
17	3.66536e-05	4.69111e-05	15919.764798494703	15523.8	14188.589837385145
18	4.69111e-05	5.99933e-05	16576.756743124097	15314.9	14439.114040391662
19	5.99933e-05	7.6678e-05	16121.13671861552	14295.9	13743.676175646915
20	7.6678e-05	9.79572e-05	14794.588965532701	13564.1	13050.639233402306
21	9.79572e-05	0.000125096	10374.759405418927	13235.1	11822.359499979942
22	0.000125096	0.000159708	9370.89	7126.24	10822.099999999999
23	0.000159708	0.000203852	9370.89	7126.24	10822.099999999999
24	0.000203852	0.000260151	9370.89	7126.24	10822.099999999999
25	0.000260151	0.000331954	9316.470210528976	7126.24	10822.099999999999
26	0.000331954	0.000423529	4653.3992897206135	7126.24	8477.491785739037
27	0.000423529	0.000540322	1165.45	1526.58	819.7564281019884
28	0.000540322	0.000689276	1165.45	1526.58	63.66390000000001
29	0.000689276	0.000879249	1165.45	1526.58	63.66390000000001
30	0.000879249	0.00112153	1165.45	1526.58	63.66390000000001
31	0.00112153	0.00448612	1165.45	1526.58	63.66390000000001
