time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	4.170225e-08	1.66809e-07	10.713355442698179	10.3177	9.490080523615216
1	1.66809e-07	3.79552e-07	11.149900000000004	10.3177	10.0436
2	3.79552e-07	6.5088e-07	11.149900000000004	10.3177	10.043613671294304
3	6.5088e-07	9.96924e-07	11.149930295542415	10.3177	10.043742684648501
4	9.96924e-07	1.43826e-06	11.149958052870293	16.8326	11.272950146768917
5	1.43826e-06	2.00113e-06	32.11093453671863	414.148	61.50130447581745
6	2.00113e-06	2.71899e-06	240.53718053198145	2312.7	409.19198386922704
7	2.71899e-06	3.63454e-06	817.0004784866712	3678.11	1231.9351381262732
8	3.63454e-06	4.8022e-06	1314.8688451502685	2392.59	1937.4700044808944
9	4.8022e-06	6.2914e-06	1341.9576387253883	1146.63	1986.016016064531
10	6.2914e-06	8.19069e-06	1301.330247254926	777.405	1894.4460560617445
11	8.19069e-06	1.0613e-05	1787.467360412295	1013.04	2232.815985711774
12	1.0613e-05	1.37023e-05	3262.5151717331473	2053.01	3250.1295980872637
13	1.37023e-05	1.76424e-05	5903.0121945151905	4474.5	5037.752120088154
14	1.76424e-05	2.26675e-05	9174.090868290717	8291.71	7508.594230491662
15	2.26675e-05	2.90763e-05	12114.057126233114	12023.5	10304.727829190664
16	2.90763e-05	3.72499e-05	14255.354603816206	14542.4	12915.68088494413
17	3.72499e-05	4.76744e-05	15747.411290747596	15804.7	14589.438093789155
18	4.76744e-05	6.09694e-05	16571.29383288354	15729.1	14823.779616315005
19	6.09694e-05	7.79255e-05	16509.459687332983	14512.2	14058.741683256398
20	7.79255e-05	9.95509e-05	15328.812698192998	13153.0	13331.761127234342
21	9.95509e-05	0.000127131	9785.640960522696	12381.0	10980.620357473976
22	0.000127131	0.000162307	8537.2	7811.27	8942.529999999999
23	0.000162307	0.000207169	8537.2	7811.27	8942.529999999999
24	0.000207169	0.000264384	8537.2	7811.27	8942.529999999999
25	0.000264384	0.000337355	8493.34790063102	7811.27	8942.529999999999
26	0.000337355	0.00043042	4984.855327798071	7811.27	7009.68923988501
27	0.00043042	0.000549113	2416.24	582.608	931.1677259671856
28	0.000549113	0.000700491	2416.24	582.608	367.81200000000007
29	0.000700491	0.000893554	2416.24	582.608	367.81200000000007
30	0.000893554	0.00113978	2416.24	582.608	367.81200000000007
31	0.00113978	0.00455912	2416.24	582.608	367.81200000000007
