time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	5.093e-08	2.0372e-07	10.326994999839831	8.44828	9.57811512703528
1	2.0372e-07	4.63539e-07	10.530679577064145	8.44828	9.84020962537395
2	4.63539e-07	7.94904e-07	10.53065804565267	8.44828	9.84021971805517
3	7.94904e-07	1.21752e-06	11.310013213172722	8.44831	9.84376460932804
4	1.21752e-06	1.75651e-06	50.95830483406729	18.7767	16.3747724126185
5	1.75651e-06	2.44393e-06	325.98743146134007	348.444	159.00682763212936
6	2.44393e-06	3.32064e-06	890.9392009465075	1696.23	702.3354704680114
7	3.32064e-06	4.43877e-06	1294.2808440560925	2834.59	1436.555117080178
8	4.43877e-06	5.86481e-06	1390.738912533824	2306.3	1817.2780493004097
9	5.86481e-06	7.68354e-06	1557.7150606947082	1455.44	1960.2886652844384
10	7.68354e-06	1.00031e-05	2186.457552930305	1077.45	2329.885980121201
11	1.00031e-05	1.29614e-05	3662.640141826221	1065.22	3233.4150813635924
12	1.29614e-05	1.67344e-05	6276.500009281958	1400.34	4812.527348642397
13	1.67344e-05	2.15463e-05	9652.074317130046	2339.26	7062.509447265456
14	2.15463e-05	2.76832e-05	12522.054958958677	4331.05	9722.428142673485
15	2.76832e-05	3.55102e-05	13833.386015524018	7641.12	12299.278894412779
16	3.55102e-05	4.54925e-05	13979.548594605221	11428.3	14030.326952701796
17	4.54925e-05	5.82236e-05	14000.765780149673	13480.9	14333.389537751918
18	5.82236e-05	7.44605e-05	14286.878374627086	12897.6	13439.642218444074
19	7.44605e-05	9.51687e-05	14680.794783919386	11530.3	12345.386272477406
20	9.51687e-05	0.000121579	11179.534201354007	10891.2	11255.158245356122
21	0.000121579	0.000155263	7757.839999999998	10887.0	9844.994184666239
22	0.000155263	0.000198222	7757.839999999998	6730.62	9764.49
23	0.000198222	0.00025301	7757.839999999998	6730.62	9764.49
24	0.00025301	0.000322886	7757.839999999998	6730.62	9764.49
25	0.000322886	0.000412004	6502.157344284342	6730.62	8916.048521577452
26	0.000412004	0.000525662	2734.152122437217	6730.62	1928.1001750316007
27	0.000525662	0.000670619	2406.7599999999998	394.194	66.89929999999998
28	0.000670619	0.000855494	2406.7599999999998	394.194	66.89929999999998
29	0.000855494	0.00109128	2406.7599999999998	394.194	66.89929999999998
30	0.00109128	0.00139199	2406.7599999999998	394.194	66.89929999999998
31	0.00139199	0.00556796	2406.7599999999998	394.194	66.89929999999998
