time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	4.992475e-08	1.99699e-07	10.317731136093034	8.61845	10.717008116755974
1	1.99699e-07	4.54389e-07	10.5377	8.61845	10.913919070311769
2	4.54389e-07	7.79214e-07	10.5377	8.61843	10.913900000000003
3	7.79214e-07	1.19349e-06	10.97132798189308	8.61843	10.913900000000003
4	1.19349e-06	1.72184e-06	42.847814005421824	10.5353	17.11453153386269
5	1.72184e-06	2.39569e-06	311.855164880302	266.572	120.98214974613066
6	2.39569e-06	3.25509e-06	938.4958429959103	1705.24	517.5947151454933
7	3.25509e-06	4.35116e-06	1411.8936790044609	3376.97	1049.700894538974
8	4.35116e-06	5.74905e-06	1471.1749205215535	2600.17	1241.1262035941372
9	5.74905e-06	7.53188e-06	1542.9051956691126	1162.46	1249.5961206791808
10	7.53188e-06	9.80565e-06	2073.9183943046155	547.607	1609.4244518390042
11	9.80565e-06	1.27056e-05	3466.4780448886436	455.045	2790.469541474361
12	1.27056e-05	1.6404e-05	6040.113315001791	712.487	5116.461939566936
13	1.6404e-05	2.1121e-05	9438.917996897686	1602.13	8290.916294400127
14	2.1121e-05	2.71368e-05	12383.636271868949	3825.58	11382.214587512954
15	2.71368e-05	3.48093e-05	13774.44384626369	7756.51	13710.383492605852
16	3.48093e-05	4.45945e-05	13953.022394383075	11998.9	15329.079080556563
17	4.45945e-05	5.70743e-05	13962.362432677133	14022.1	16213.180599452207
18	5.70743e-05	7.29907e-05	14246.714698865606	13536.7	16071.657819889433
19	7.29907e-05	9.32901e-05	14677.796867995736	12188.0	15378.7517304302
20	9.32901e-05	0.000119179	11733.405429843939	11325.7	10995.833159466223
21	0.000119179	0.000152198	7808.915796325359	11259.3	7981.97
22	0.000152198	0.000194309	7780.339999999998	5885.01	7981.97
23	0.000194309	0.000248016	7780.339999999998	5885.01	7981.97
24	0.000248016	0.000316513	7780.339999999998	5885.01	7981.97
25	0.000316513	0.000403871	6784.783415183916	5885.01	6301.765432948481
26	0.000403871	0.000515286	2900.752817410496	5885.01	2223.54981114537
27	0.000515286	0.000657382	2409.89	1496.46	1975.2199999999996
28	0.000657382	0.000838607	2409.89	1496.46	1975.2199999999996
29	0.000838607	0.00106974	2409.89	1496.46	1975.2199999999996
30	0.00106974	0.00136451	2409.89	1496.46	1975.2199999999996
31	0.00136451	0.00545804	2409.89	1496.46	1975.2199999999996
