time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	4.925825e-08	1.97033e-07	10.280307462408096	8.73499	11.697912259724731
1	1.97033e-07	4.48324e-07	10.5128	8.73499	11.8431
2	4.48324e-07	7.68813e-07	10.5128	8.73502	11.843154744032795
3	7.68813e-07	1.17756e-06	10.818023321332642	8.73499	11.843142441628535
4	1.17756e-06	1.69886e-06	44.04115978301852	35.016	35.66889711686605
5	1.69886e-06	2.36371e-06	300.50251249544095	356.476	264.71571173938577
6	2.36371e-06	3.21165e-06	846.5897460702911	1141.36	811.636651697267
7	3.21165e-06	4.29308e-06	1216.5093889616753	1670.83	1199.4738883823695
8	4.29308e-06	5.67231e-06	1250.1676300747806	1589.38	1151.5579159137894
9	5.67231e-06	7.43135e-06	1326.1741354141727	1299.08	1144.8312116799998
10	7.43135e-06	9.67477e-06	1830.4461330780116	1108.88	1715.4493449499219
11	9.67477e-06	1.2536e-05	3172.290207590616	1159.37	3491.075972159764
12	1.2536e-05	1.61851e-05	5736.145951265408	1524.61	6861.321071509725
13	1.61851e-05	2.08391e-05	9223.428080156984	2425.42	10806.196360312722
14	2.08391e-05	2.67746e-05	12312.93644407271	4535.22	13495.97763453429
15	2.67746e-05	3.43446e-05	13807.491191473035	8177.17	14877.77994222393
16	3.43446e-05	4.39993e-05	13993.061430298807	12091.0	16139.14860263507
17	4.39993e-05	5.63125e-05	13935.563689470215	13862.3	17061.155172534673
18	5.63125e-05	7.20165e-05	14166.205680969753	13214.2	16756.078524885394
19	7.20165e-05	9.20449e-05	14596.69076482721	11986.9	15427.496572483904
20	9.20449e-05	0.000117589	12104.230352288772	11204.8	10149.758973160046
21	0.000117589	0.000150166	7836.723963186116	10794.6	8654.02
22	0.000150166	0.000191715	7760.22	6627.24	8654.02
23	0.000191715	0.000244706	7760.22	6627.24	8654.02
24	0.000244706	0.000312288	7760.22	6627.24	8644.930662068966
25	0.000312288	0.000398481	6944.73854146382	6627.24	5354.769257782874
26	0.000398481	0.000508409	2979.3041870409957	6627.24	2263.94
27	0.000508409	0.000648608	2329.22	638.751	2263.94
28	0.000648608	0.000827414	2329.22	638.751	2263.94
29	0.000827414	0.00105546	2329.22	638.751	2263.94
30	0.00105546	0.0013463	2329.22	638.751	2263.94
31	0.0013463	0.0053852	2329.22	638.751	2263.94
