time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	5.949525e-08	2.37981e-07	8.38333175704123	7.23201	8.679688344994272
1	2.37981e-07	5.41496e-07	8.583641069371575	7.23201	8.863034892814087
2	5.41496e-07	9.28591e-07	8.58363938946482	7.23203	8.863066890642909
3	9.28591e-07	1.42228e-06	8.58363488765711	7.23203	10.715017646337131
4	1.42228e-06	2.05192e-06	10.156879945711117	7.23201	110.16725032086701
5	2.05192e-06	2.85494e-06	82.24350090672732	7.23208	589.9631877302573
6	2.85494e-06	3.8791e-06	653.3562551230876	153.308	1240.4662468006466
7	3.8791e-06	5.18528e-06	2209.190277067104	1100.03	1345.3043935835692
8	5.18528e-06	6.85115e-06	3347.3966776672555	2869.15	1114.2168016621129
9	6.85115e-06	8.97575e-06	2533.6852247461443	3021.84	1113.8420609718282
10	8.97575e-06	1.16854e-05	1211.7613422510353	1534.2	1636.919870975919
11	1.16854e-05	1.51412e-05	553.4415274639189	546.354	2865.1932555105896
12	1.51412e-05	1.95487e-05	454.47794343545047	262.855	4777.046472646115
13	1.95487e-05	2.51699e-05	788.8499300782395	291.283	7126.248746263565
14	2.51699e-05	3.2339e-05	1818.3075160183541	657.119	9590.729002344466
15	3.2339e-05	4.14823e-05	3947.547382612801	1809.93	11795.782154013521
16	4.14823e-05	5.31433e-05	7345.795571839134	4235.37	13140.970020101831
17	5.31433e-05	6.80156e-05	11610.535172065664	7804.07	13211.190196210131
18	6.80156e-05	8.69832e-05	15259.004231107587	11731.3	12456.16409687831
19	8.69832e-05	0.000111174	16292.521371533403	14046.7	11785.783215620713
20	0.000111174	0.000142026	13168.165581016226	12760.5	9648.79063179385
21	0.000142026	0.000181375	8789.69944081361	10033.2	7359.746976862174
22	0.000181375	0.000231558	8641.189999999999	6645.24	7347.039999999998
23	0.000231558	0.000295561	8641.189999999999	6645.24	7347.039999999998
24	0.000295561	0.000377189	8641.189999999999	6645.24	7347.039999999998
25	0.000377189	0.000481294	8161.042579819109	6645.24	5985.655425347425
26	0.000481294	0.000614068	5261.498646702569	6645.24	851.7740822048698
27	0.000614068	0.000783403	4673.850000000001	3199.23	228.31099999999995
28	0.000783403	0.00099937	4673.850000000001	3199.23	228.31099999999995
29	0.00099937	0.00127481	4673.850000000001	3199.23	228.31099999999995
30	0.00127481	0.00162609	4673.850000000001	3199.23	228.31099999999995
31	0.00162609	0.00650436	4673.850000000001	3199.23	228.31099999999995
