time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	5.86175e-08	2.3447e-07	8.371467811454622	7.34031	9.559875796293877
1	2.3447e-07	5.33507e-07	8.59284849340842	7.34031	9.700331143634175
2	5.33507e-07	9.1489e-07	8.592844677523903	7.34032	9.700338406017098
3	9.1489e-07	1.4013e-06	8.592849650307388	7.34041	12.158698679338968
4	1.4013e-06	2.02165e-06	12.080245647806073	7.34041	93.07514835743144
5	2.02165e-06	2.81282e-06	187.42944830921795	163.935	589.4354371726611
6	2.81282e-06	3.82187e-06	1216.2056515968695	1307.24	1396.658350748689
7	3.82187e-06	5.10878e-06	3203.7613917025774	3452.44	1472.7809070604353
8	5.10878e-06	6.75007e-06	3792.38052473233	3764.43	968.4759373145531
9	6.75007e-06	8.84333e-06	2356.942964703775	2200.7	756.7306530114802
10	8.84333e-06	1.1513e-05	983.6238582517899	906.627	1131.4462571484785
11	1.1513e-05	1.49179e-05	428.32146266275134	360.319	2397.4169512222697
12	1.49179e-05	1.92603e-05	373.19509641767866	217.053	4778.658546221936
13	1.92603e-05	2.47985e-05	702.8129419616688	281.092	7811.980738198288
14	2.47985e-05	3.18619e-05	1690.5235562414848	671.359	10630.095808866434
15	3.18619e-05	4.08702e-05	3749.7558991294623	1890.55	12744.53681819122
16	4.08702e-05	5.23593e-05	7075.620107493271	4460.43	14162.364020343546
17	5.23593e-05	6.70121e-05	11327.773866679543	8088.71	14777.81117630753
18	6.70121e-05	8.56999e-05	15135.057037646668	11863.8	14587.919351812721
19	8.56999e-05	0.000109534	16468.00698366325	14074.9	13917.764285772704
20	0.000109534	0.000139931	13620.21783912758	12864.8	8608.672402892815
21	0.000139931	0.000178699	8860.021552982207	10126.5	6458.590000000001
22	0.000178699	0.000228142	8624.12	6699.33	6458.590000000001
23	0.000228142	0.0002912	8624.12	6699.33	6458.590000000001
24	0.0002912	0.000371624	8624.12	6699.33	6458.590000000001
25	0.000371624	0.000474193	8248.015441657435	6699.33	4405.405489155756
26	0.000474193	0.000605008	5423.566687181314	6699.33	1586.5282167404062
27	0.000605008	0.000771845	4722.389999999999	3012.83	1551.07
28	0.000771845	0.000984625	4722.389999999999	3012.83	1551.07
29	0.000984625	0.001256	4722.389999999999	3012.83	1551.07
30	0.001256	0.0016021	4722.389999999999	3012.83	1551.07
31	0.0016021	0.0064084	4722.389999999999	3012.83	1551.07
