time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	5.90955e-08	2.36382e-07	8.351340377287721	7.28094	9.47513961282493
1	2.36382e-07	5.37857e-07	8.564710248451345	7.28094	9.614941595809292
2	5.37857e-07	9.22351e-07	8.56467580040131	7.28093	9.614935002581817
3	9.22351e-07	1.41272e-06	8.564675034367708	7.28094	19.840765202684747
4	1.41272e-06	2.03813e-06	9.828155238337851	7.28093	212.61697042576762
5	2.03813e-06	2.83576e-06	75.14096132213761	17.0566	806.4039611092506
6	2.83576e-06	3.85303e-06	593.5276693823674	308.122	1196.7783077159097
7	3.85303e-06	5.15044e-06	1966.883676408449	1737.3	926.7504762311934
8	5.15044e-06	6.80511e-06	2865.673556635218	3254.81	630.6846869475925
9	6.80511e-06	8.91544e-06	2085.1300833390815	2307.63	697.7267958955813
10	8.91544e-06	1.16069e-05	970.3824221782754	865.167	1364.7722357340226
11	1.16069e-05	1.50395e-05	448.4179958994838	314.499	3115.6912232769714
12	1.50395e-05	1.94174e-05	396.25442753164003	206.289	6174.355594159573
13	1.94174e-05	2.50008e-05	743.1963732960983	299.469	9678.836943299848
14	2.50008e-05	3.21217e-05	1770.2027837984185	724.048	12148.457595300599
15	3.21217e-05	4.12035e-05	3879.0333355152065	1914.07	13006.93620347731
16	4.12035e-05	5.27862e-05	7236.668454711677	4280.56	13034.530945996978
17	5.27862e-05	6.75585e-05	11469.63730127948	7755.52	13132.011990900339
18	6.75585e-05	8.63987e-05	15165.542262251223	11736.2	13435.388450936267
19	8.63987e-05	0.000110427	16317.318759871736	14272.5	13434.960779566341
20	0.000110427	0.000141072	13372.323329815938	13054.7	8685.724492120487
21	0.000141072	0.000180156	8831.472812513577	10217.2	6679.939999999998
22	0.000180156	0.000230002	8630.66	6594.21	6679.939999999998
23	0.000230002	0.000293575	8630.66	6594.21	6679.939999999998
24	0.000293575	0.000374654	8630.66	6594.21	6679.939999999998
25	0.000374654	0.00047806	8219.145295191553	6594.21	4640.025488669519
26	0.00047806	0.000609941	5369.44263884626	6594.21	1810.1374314532732
27	0.000609941	0.000778139	4711.360000000001	2812.12	1773.17
28	0.000778139	0.000992654	4711.360000000001	2812.12	1773.17
29	0.000992654	0.00126624	4711.360000000001	2812.12	1773.17
30	0.00126624	0.00161517	4711.360000000001	2812.12	1773.17
31	0.00161517	0.00646068	4711.360000000001	2812.12	1773.17
