time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	5.833775e-08	2.33351e-07	8.370829553644139	7.37554	10.466377292929293
1	2.33351e-07	5.30961e-07	8.598483762950657	7.37554	10.5452
2	5.30961e-07	9.10525e-07	8.598509879772394	7.3755	10.545139622371913
3	9.10525e-07	1.39461e-06	8.598540276821701	7.37553	16.3440898821885
4	1.39461e-06	2.012e-06	9.470234499974909	7.3755	148.9581510480833
5	2.012e-06	2.7994e-06	65.54375113854039	94.3196	761.6919959085767
6	2.7994e-06	3.80363e-06	569.4904934797707	850.515	1500.0365413661546
7	3.80363e-06	5.0844e-06	2090.5613931497764	2871.96	1508.876431243621
8	5.0844e-06	6.71786e-06	3392.370440151782	4213.02	1170.5093369584167
9	6.71786e-06	8.80113e-06	2724.1810453698617	3014.24	1177.9070811483566
10	8.80113e-06	1.14581e-05	1348.884108864713	1236.28	1936.693840140576
11	1.14581e-05	1.48467e-05	599.0826666626609	428.77	3928.881743040105
12	1.48467e-05	1.91684e-05	449.8487640175222	232.66	7097.446360662354
13	1.91684e-05	2.46802e-05	737.9872017123628	287.629	10285.536728504052
14	2.46802e-05	3.17098e-05	1686.2453223017142	660.744	12428.160470423065
15	3.17098e-05	4.06752e-05	3699.759997207486	1791.31	13778.397938472248
16	4.06752e-05	5.21094e-05	6998.639674229565	4202.45	14892.996011881361
17	5.21094e-05	6.66923e-05	11281.409599510287	7928.71	15438.035441431552
18	6.66923e-05	8.5291e-05	15174.431020957505	12189.1	15133.445828402555
19	8.5291e-05	0.000109011	16525.072352199466	14383.5	13326.33050772539
20	0.000109011	0.000139263	13640.590643352618	12652.9	7791.54973621134
21	0.000139263	0.000177846	8854.712248626134	9831.28	7064.439999999999
22	0.000177846	0.000227053	8587.299999999997	6856.52	7064.439999999999
23	0.000227053	0.000289811	8587.299999999997	6856.52	7064.439999999999
24	0.000289811	0.00036985	8587.299999999997	6856.52	6873.950924997178
25	0.00036985	0.000471931	8234.08858767833	6856.52	3330.150826170646
26	0.000471931	0.000602121	5374.966017408008	6856.52	1742.78
27	0.000602121	0.000768162	4622.81	2899.92	1742.78
28	0.000768162	0.000979927	4622.81	2899.92	1742.78
29	0.000979927	0.00125001	4622.81	2899.92	1742.78
30	0.00125001	0.00159446	4622.81	2899.92	1742.78
31	0.00159446	0.00637784	4622.81	2899.92	1742.78
