time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	8.103775e-07	3.24151e-06	1101.47699144	1173.58	357.575140163
1	3.24151e-06	7.37565e-06	906.856506516	1173.58	2578.31008083
2	7.37565e-06	1.26482e-05	1635.70474702	1016.66	2011.36741044
3	1.26482e-05	1.93727e-05	5370.77506775	1428.38	1387.57048487
4	1.93727e-05	2.7949e-05	9591.83208152	1363.64	1642.63038144
5	2.7949e-05	3.88869e-05	12243.9605379	1200.56	2063.08534808
6	3.88869e-05	5.28368e-05	12971.1594941	873.284	2223.82712874
7	5.28368e-05	7.06281e-05	11956.786679	517.113	1779.64365499
8	7.06281e-05	9.33187e-05	10363.5656248	321.088	1437.74882579
9	9.33187e-05	0.000122258	9049.32397184	295.237	1713.05922629
10	0.000122258	0.000159166	8149.71513286	404.502	2641.98148152
11	0.000159166	0.000206237	7354.68890865	463.439	3276.14947533
12	0.000206237	0.000266271	6368.6725883	381.77	2540.88258331
13	0.000266271	0.000342836	5186.10271752	350.066	1310.0760263
14	0.000342836	0.000440485	4052.43168174	423.432	781.412940911
15	0.000440485	0.000565025	2963.65357227	595.273	706.89411673
16	0.000565025	0.000723859	2612.07378882	823.994	823.585109128
17	0.000723859	0.000926432	2704.91007774	982.652	951.224541287
18	0.000926432	0.00118479	2764.64	882.621	903.781998264
19	0.00118479	0.00151429	2764.64	633.722	678.613302624
20	0.00151429	0.00193452	2764.64	448.498	451.967593815
21	0.00193452	0.00247048	2764.64	345.693	291.952021082
22	0.00247048	0.00315403	2764.64	300.526	202.380276707
23	0.00315403	0.0040258	2764.64	296.689	196.630232004
24	0.0040258	0.00513764	2764.64	322.467	652.971692725
25	0.00513764	0.00655565	2764.64	370.913	865.846881509
26	0.00655565	0.00836414	2764.64	439.578	373.30279563
27	0.00836414	0.0106706	2764.64	469.724	0.964587
28	0.0106706	0.0136123	2764.64	469.724	0.964587
29	0.0136123	0.017364	2764.64	309.134	0.964587
30	0.017364	0.0221488	2764.64	309.134	0.964587
31	0.0221488	0.0885952	2764.64	309.134	0.964587
