time_index	left_time_boundary	right_time_boundary	lambda
0	0	2.27513e-07	7.56476
1	2.27513e-07	5.17678e-07	7.56476
2	5.17678e-07	8.87746e-07	7.56476
3	8.87746e-07	1.35972e-06	7.56475
4	1.35972e-06	1.96166e-06	7.56475
5	1.96166e-06	2.72937e-06	95.4801
6	2.72937e-06	3.70848e-06	688.838
7	3.70848e-06	4.9572e-06	2015.1
8	4.9572e-06	6.5498e-06	2775.2
9	6.5498e-06	8.58095e-06	1994.5
10	8.58095e-06	1.11714e-05	925.323
11	1.11714e-05	1.44753e-05	456.639
12	1.44753e-05	1.86889e-05	423.379
13	1.86889e-05	2.40628e-05	791.041
14	2.40628e-05	3.09165e-05	1998.8
15	3.09165e-05	3.96576e-05	4712.02
16	3.96576e-05	5.08058e-05	8690.1
17	5.08058e-05	6.50239e-05	12307.3
18	6.50239e-05	8.31572e-05	13483.2
19	8.31572e-05	0.000106284	11731.8
20	0.000106284	0.000135779	9447.74
21	0.000135779	0.000173397	8195.43
22	0.000173397	0.000221373	7613.46
23	0.000221373	0.000282561	6949.96
24	0.000282561	0.000360598	5861.2
25	0.000360598	0.000460124	4840.22
26	0.000460124	0.000587058	4371.58
27	0.000587058	0.000748945	6549.06
28	0.000748945	0.000955412	6549.06
29	0.000955412	0.00121873	49.4757
30	0.00121873	0.00155457	49.4757
31	0.00155457	inf	49.4757
