time_index	left_time_boundary	right_time_boundary	lambda
0	0	2.09953e-07	8.19748
1	2.09953e-07	4.77721e-07	8.19748
2	4.77721e-07	8.19225e-07	8.19748
3	8.19225e-07	1.25477e-06	8.19759
4	1.25477e-06	1.81025e-06	8.19755
5	1.81025e-06	2.5187e-06	126.667
6	2.5187e-06	3.42223e-06	1221.57
7	3.42223e-06	4.57458e-06	4393.87
8	4.57458e-06	6.04425e-06	6560.91
9	6.04425e-06	7.91862e-06	4566.11
10	7.91862e-06	1.03091e-05	1896.61
11	1.03091e-05	1.3358e-05	730.215
12	1.3358e-05	1.72463e-05	422.683
13	1.72463e-05	2.22055e-05	475.557
14	2.22055e-05	2.85302e-05	924.885
15	2.85302e-05	3.65966e-05	2185.01
16	3.65966e-05	4.68843e-05	4733.44
17	4.68843e-05	6.00049e-05	8680.66
18	6.00049e-05	7.67386e-05	13236.8
19	7.67386e-05	9.80803e-05	15634.6
20	9.80803e-05	0.000125299	14215.3
21	0.000125299	0.000160013	11616.3
22	0.000160013	0.000204286	7985.64
23	0.000204286	0.000260751	7985.64
24	0.000260751	0.000332765	7985.64
25	0.000332765	0.000424609	7985.64
26	0.000424609	0.000541745	7985.64
27	0.000541745	0.000691137	2194.9
28	0.000691137	0.000881667	2194.9
29	0.000881667	0.00112466	2194.9
30	0.00112466	0.00143458	2194.9
31	0.00143458	inf	2194.9
