time_index	left_time_boundary	right_time_boundary	lambda
0	0	2.08455e-07	8.25637
1	2.08455e-07	4.74313e-07	8.25637
2	4.74313e-07	8.13381e-07	8.25642
3	8.13381e-07	1.24582e-06	8.2564
4	1.24582e-06	1.79734e-06	8.25639
5	1.79734e-06	2.50073e-06	161.515
6	2.50073e-06	3.39782e-06	1658.34
7	3.39782e-06	4.54195e-06	5637.34
8	4.54195e-06	6.00113e-06	7282.92
9	6.00113e-06	7.86214e-06	4345.53
10	7.86214e-06	1.02356e-05	1649.87
11	1.02356e-05	1.32627e-05	613.697
12	1.32627e-05	1.71233e-05	343.781
13	1.71233e-05	2.20471e-05	374.127
14	2.20471e-05	2.83267e-05	731.319
15	2.83267e-05	3.63356e-05	1812.2
16	3.63356e-05	4.65499e-05	4153.02
17	4.65499e-05	5.95769e-05	8040.25
18	5.95769e-05	7.61913e-05	13061
19	7.61913e-05	9.73807e-05	16448.3
20	9.73807e-05	0.000124405	15212.5
21	0.000124405	0.000158872	12090.8
22	0.000158872	0.000202829	8550.06
23	0.000202829	0.000258891	8550.06
24	0.000258891	0.000330391	8550.06
25	0.000330391	0.00042158	8550.06
26	0.00042158	0.000537881	8550.06
27	0.000537881	0.000686207	852.541
28	0.000686207	0.000875379	852.541
29	0.000875379	0.00111664	852.541
30	0.00111664	0.00142434	852.541
31	0.00142434	inf	852.541
