time_index	left_time_boundary	right_time_boundary	lambda
0	0	2.09379e-07	8.21999
1	2.09379e-07	4.76415e-07	8.21999
2	4.76415e-07	8.16985e-07	8.21995
3	8.16985e-07	1.25134e-06	8.21995
4	1.25134e-06	1.8053e-06	8.21996
5	1.8053e-06	2.51181e-06	183.745
6	2.51181e-06	3.41288e-06	1574.44
7	3.41288e-06	4.56207e-06	4961.14
8	4.56207e-06	6.02773e-06	6596.76
9	6.02773e-06	7.89698e-06	4282.91
10	7.89698e-06	1.0281e-05	1742.07
11	1.0281e-05	1.33215e-05	689.483
12	1.33215e-05	1.71992e-05	430.664
13	1.71992e-05	2.21448e-05	509.198
14	2.21448e-05	2.84522e-05	948.519
15	2.84522e-05	3.64966e-05	2071.89
16	3.64966e-05	4.67561e-05	4318.1
17	4.67561e-05	5.98409e-05	7931.26
18	5.98409e-05	7.65289e-05	12431
19	7.65289e-05	9.78122e-05	15636.2
20	9.78122e-05	0.000124956	15248.8
21	0.000124956	0.000159576	12869.1
22	0.000159576	0.000203728	7925.06
23	0.000203728	0.000260038	7925.06
24	0.000260038	0.000331855	7925.06
25	0.000331855	0.000423448	7925.06
26	0.000423448	0.000540264	7925.06
27	0.000540264	0.000689248	3956.02
28	0.000689248	0.000879257	3956.02
29	0.000879257	0.00112159	3956.02
30	0.00112159	0.00143066	3956.02
31	0.00143066	inf	3956.02
