time_index	left_time_boundary	right_time_boundary	lambda
0	0	2.09175e-07	8.22794
1	2.09175e-07	4.75952e-07	8.22794
2	4.75952e-07	8.16192e-07	8.22794
3	8.16192e-07	1.25012e-06	8.22796
4	1.25012e-06	1.80355e-06	8.22794
5	1.80355e-06	2.50938e-06	91.8952
6	2.50938e-06	3.40957e-06	972.422
7	3.40957e-06	4.55764e-06	3797.31
8	4.55764e-06	6.02187e-06	6158.32
9	6.02187e-06	7.88931e-06	4701.29
10	7.88931e-06	1.0271e-05	2087.16
11	1.0271e-05	1.33085e-05	804.847
12	1.33085e-05	1.71825e-05	453.418
13	1.71825e-05	2.21233e-05	500.016
14	2.21233e-05	2.84246e-05	928.037
15	2.84246e-05	3.64611e-05	2061.79
16	3.64611e-05	4.67107e-05	4339.7
17	4.67107e-05	5.97828e-05	7984.71
18	5.97828e-05	7.64545e-05	12526.6
19	7.64545e-05	9.77173e-05	15794.1
20	9.77173e-05	0.000124835	15369
21	0.000124835	0.000159421	12788.3
22	0.000159421	0.00020353	7758.28
23	0.00020353	0.000259786	7758.28
24	0.000259786	0.000331533	7758.28
25	0.000331533	0.000423037	7758.28
26	0.000423037	0.000539739	7758.28
27	0.000539739	0.000688578	4012.01
28	0.000688578	0.000878404	4012.01
29	0.000878404	0.0011205	4012.01
30	0.0011205	0.00142927	4012.01
31	0.00142927	inf	4012.01
