time_index	left_time_boundary	right_time_boundary	lambda
0	0	2.101e-07	8.19175
1	2.101e-07	4.78055e-07	8.19175
2	4.78055e-07	8.19799e-07	8.19175
3	8.19799e-07	1.25565e-06	8.19175
4	1.25565e-06	1.81152e-06	8.19177
5	1.81152e-06	2.52047e-06	85.6998
6	2.52047e-06	3.42463e-06	1049.98
7	3.42463e-06	4.57779e-06	4264.8
8	4.57779e-06	6.04848e-06	6779.74
9	6.04848e-06	7.92417e-06	5011.09
10	7.92417e-06	1.03164e-05	2181.68
11	1.03164e-05	1.33673e-05	832.46
12	1.33673e-05	1.72584e-05	462.163
13	1.72584e-05	2.2221e-05	496.971
14	2.2221e-05	2.85502e-05	897.225
15	2.85502e-05	3.66223e-05	1966.37
16	3.66223e-05	4.69172e-05	4176.1
17	4.69172e-05	6.0047e-05	7819.9
18	6.0047e-05	7.67924e-05	12457.4
19	7.67924e-05	9.81491e-05	15853.4
20	9.81491e-05	0.000125387	15264.4
21	0.000125387	0.000160125	12415.7
22	0.000160125	0.000204429	7924.33
23	0.000204429	0.000260934	7924.33
24	0.000260934	0.000332998	7924.33
25	0.000332998	0.000424907	7924.33
26	0.000424907	0.000542125	7924.33
27	0.000542125	0.000691621	4698.67
28	0.000691621	0.000882286	4698.67
29	0.000882286	0.00112545	4698.67
30	0.00112545	0.00143558	4698.67
31	0.00143558	inf	4698.67
