time_index	left_time_boundary	right_time_boundary	lambda
0	0	2.11348e-07	8.14336
1	2.11348e-07	4.80896e-07	8.14336
2	4.80896e-07	8.2467e-07	8.14336
3	8.2467e-07	1.26311e-06	8.14336
4	1.26311e-06	1.82229e-06	8.14335
5	1.82229e-06	2.53544e-06	15.8419
6	2.53544e-06	3.44498e-06	419.341
7	3.44498e-06	4.60499e-06	2839.72
8	4.60499e-06	6.08443e-06	5478.26
9	6.08443e-06	7.97126e-06	3801.43
10	7.97126e-06	1.03777e-05	1491.33
11	1.03777e-05	1.34468e-05	607.594
12	1.34468e-05	1.7361e-05	413.848
13	1.7361e-05	2.23531e-05	527.068
14	2.23531e-05	2.87199e-05	1023.01
15	2.87199e-05	3.68399e-05	2243.1
16	3.68399e-05	4.7196e-05	4539.76
17	4.7196e-05	6.04038e-05	8037.43
18	6.04038e-05	7.72487e-05	12446.1
19	7.72487e-05	9.87323e-05	15889.1
20	9.87323e-05	0.000126132	15164.4
21	0.000126132	0.000161077	12015.4
22	0.000161077	0.000205644	7780.32
23	0.000205644	0.000262484	7780.32
24	0.000262484	0.000334977	7780.32
25	0.000334977	0.000427432	7780.32
26	0.000427432	0.000545346	7780.32
27	0.000545346	0.000695731	3802.53
28	0.000695731	0.000887528	3802.53
29	0.000887528	0.00113214	3802.53
30	0.00113214	0.00144411	3802.53
31	0.00144411	inf	3802.53
