time_index	left_time_boundary	right_time_boundary	lambda
0	0	2.07951e-07	8.2764
1	2.07951e-07	4.73166e-07	8.2764
2	4.73166e-07	8.11414e-07	8.27642
3	8.11414e-07	1.24281e-06	8.27639
4	1.24281e-06	1.79299e-06	8.39825
5	1.79299e-06	2.49469e-06	192.279
6	2.49469e-06	3.38961e-06	1405.9
7	3.38961e-06	4.53097e-06	4068.12
8	4.53097e-06	5.98662e-06	5592.43
9	5.98662e-06	7.84313e-06	4357.58
10	7.84313e-06	1.02109e-05	2317.97
11	1.02109e-05	1.32306e-05	1080.96
12	1.32306e-05	1.70819e-05	631.979
13	1.70819e-05	2.19938e-05	626.857
14	2.19938e-05	2.82582e-05	1043.39
15	2.82582e-05	3.62477e-05	2213.85
16	3.62477e-05	4.64373e-05	4546.81
17	4.64373e-05	5.94329e-05	8130.18
18	5.94329e-05	7.6007e-05	12561.4
19	7.6007e-05	9.71453e-05	15887.4
20	9.71453e-05	0.000124104	15288.1
21	0.000124104	0.000158487	12476.3
22	0.000158487	0.000202339	7879.31
23	0.000202339	0.000258265	7879.31
24	0.000258265	0.000329592	7879.31
25	0.000329592	0.000420561	7879.31
26	0.000420561	0.00053658	7879.31
27	0.00053658	0.000684548	4421.12
28	0.000684548	0.000873262	4421.12
29	0.000873262	0.00111394	4421.12
30	0.00111394	0.0014209	4421.12
31	0.0014209	inf	4421.12
