time_index	left_time_boundary	right_time_boundary	lambda
0	0	2.07044e-07	8.31265
1	2.07044e-07	4.71102e-07	8.31265
2	4.71102e-07	8.07874e-07	8.31267
3	8.07874e-07	1.23738e-06	8.31265
4	1.23738e-06	1.78517e-06	8.31266
5	1.78517e-06	2.4838e-06	31.6721
6	2.4838e-06	3.37482e-06	449.315
7	3.37482e-06	4.5112e-06	2401.43
8	4.5112e-06	5.9605e-06	5466.34
9	5.9605e-06	7.80891e-06	5695.64
10	7.80891e-06	1.01663e-05	3002.36
11	1.01663e-05	1.31729e-05	1106.85
12	1.31729e-05	1.70074e-05	514.503
13	1.70074e-05	2.18978e-05	480.875
14	2.18978e-05	2.81349e-05	847.982
15	2.81349e-05	3.60896e-05	1920.8
16	3.60896e-05	4.62347e-05	4186.76
17	4.62347e-05	5.91736e-05	7948.88
18	5.91736e-05	7.56754e-05	12811.1
19	7.56754e-05	9.67214e-05	16265.5
20	9.67214e-05	0.000123563	15342.4
21	0.000123563	0.000157796	12224.5
22	0.000157796	0.000201456	8062.98
23	0.000201456	0.000257138	8062.98
24	0.000257138	0.000328154	8062.98
25	0.000328154	0.000418726	8062.98
26	0.000418726	0.000534239	8062.98
27	0.000534239	0.000681561	4530.9
28	0.000681561	0.000869452	4530.9
29	0.000869452	0.00110908	4530.9
30	0.00110908	0.0014147	4530.9
31	0.0014147	inf	4530.9
