time_index	left_time_boundary	right_time_boundary	lambda
0	0	1.31371e-07	8.09772
1	1.31371e-07	3.01873e-07	8.09772
2	3.01873e-07	5.23162e-07	8.09773
3	5.23162e-07	8.10365e-07	8.09775
4	8.10365e-07	1.18312e-06	8.09775
5	1.18312e-06	1.6669e-06	8.09773
6	1.6669e-06	2.29478e-06	10.0356
7	2.29478e-06	3.10969e-06	294.489
8	3.10969e-06	4.16733e-06	2236.94
9	4.16733e-06	5.54e-06	4514.71
10	5.54e-06	7.32155e-06	3076.56
11	7.32155e-06	9.63376e-06	1267.29
12	9.63376e-06	1.26347e-05	660.817
13	1.26347e-05	1.65295e-05	664.6
14	1.65295e-05	2.15845e-05	1169.72
15	2.15845e-05	2.81451e-05	2495.63
16	2.81451e-05	3.666e-05	4840.63
17	3.666e-05	4.77111e-05	7886.16
18	4.77111e-05	6.20539e-05	10839.2
19	6.20539e-05	8.0669e-05	12758.9
20	8.0669e-05	0.000104829	13106.7
21	0.000104829	0.000136185	12328.1
22	0.000136185	0.000176882	7527.29
23	0.000176882	0.0002297	7527.29
24	0.0002297	0.000298251	7527.29
25	0.000298251	0.000387221	7527.29
26	0.000387221	0.000502692	7527.29
27	0.000502692	0.000652559	3806.98
28	0.000652559	0.000847065	3806.98
29	0.000847065	0.00109951	3806.98
30	0.00109951	0.00142715	3806.98
31	0.00142715	inf	3806.98
