time_index	left_time_boundary	right_time_boundary	lambda
0	0	2.14497e-07	8.02379
1	2.14497e-07	4.88062e-07	8.02379
2	4.88062e-07	8.36958e-07	8.0238
3	8.36958e-07	1.28193e-06	8.02383
4	1.28193e-06	1.84944e-06	8.02379
5	1.84944e-06	2.57322e-06	91.5568
6	2.57322e-06	3.49631e-06	970.116
7	3.49631e-06	4.6736e-06	3748.55
8	4.6736e-06	6.17508e-06	5999.57
9	6.17508e-06	8.09003e-06	4559.33
10	8.09003e-06	1.05323e-05	2045.93
11	1.05323e-05	1.36471e-05	795.108
12	1.36471e-05	1.76197e-05	439.642
13	1.76197e-05	2.26861e-05	477.091
14	2.26861e-05	2.91478e-05	929.205
15	2.91478e-05	3.73888e-05	2250.67
16	3.73888e-05	4.78992e-05	4935.11
17	4.78992e-05	6.13038e-05	8816.71
18	6.13038e-05	7.83998e-05	12806.2
19	7.83998e-05	0.000100203	14774.8
20	0.000100203	0.000128011	13665.3
21	0.000128011	0.000163477	11191.1
22	0.000163477	0.000208708	7942.16
23	0.000208708	0.000266395	7942.16
24	0.000266395	0.000339968	7942.16
25	0.000339968	0.0004338	7942.16
26	0.0004338	0.000553472	7942.16
27	0.000553472	0.000706098	2262.93
28	0.000706098	0.000900752	2262.93
29	0.000900752	0.00114901	2262.93
30	0.00114901	0.00146563	2262.93
31	0.00146563	inf	2262.93
