time_index	left_time_boundary	right_time_boundary	lambda
0	0	2.12883e-07	8.08466
1	2.12883e-07	4.84387e-07	8.08466
2	4.84387e-07	8.30657e-07	8.08466
3	8.30657e-07	1.27228e-06	8.08466
4	1.27228e-06	1.83551e-06	8.08466
5	1.83551e-06	2.55385e-06	33.0305
6	2.55385e-06	3.46999e-06	652.779
7	3.46999e-06	4.63842e-06	3726.61
8	4.63842e-06	6.1286e-06	6812.04
9	6.1286e-06	8.02913e-06	4891.98
10	8.02913e-06	1.0453e-05	1965.54
11	1.0453e-05	1.35444e-05	702.573
12	1.35444e-05	1.7487e-05	359.4
13	1.7487e-05	2.25154e-05	367.989
14	2.25154e-05	2.89284e-05	722.35
15	2.89284e-05	3.71073e-05	1835.62
16	3.71073e-05	4.75386e-05	4228.22
17	4.75386e-05	6.08423e-05	7981.83
18	6.08423e-05	7.78095e-05	12574.2
19	7.78095e-05	9.94491e-05	15818.6
20	9.94491e-05	0.000127048	14731.5
21	0.000127048	0.000162246	11645
22	0.000162246	0.000207137	8502.96
23	0.000207137	0.00026439	8502.96
24	0.00026439	0.000337409	8502.96
25	0.000337409	0.000430535	8502.96
26	0.000430535	0.000549305	8502.96
27	0.000549305	0.000700782	767.476
28	0.000700782	0.000893971	767.476
29	0.000893971	0.00114036	767.476
30	0.00114036	0.0014546	767.476
31	0.0014546	inf	767.476
