time_index	left_time_boundary	right_time_boundary	lambda
0	0	2.13893e-07	8.04648
1	2.13893e-07	4.86685e-07	8.04648
2	4.86685e-07	8.34598e-07	8.0465
3	8.34598e-07	1.27832e-06	8.04648
4	1.27832e-06	1.84422e-06	8.04648
5	1.84422e-06	2.56597e-06	87.3939
6	2.56597e-06	3.48646e-06	1029.22
7	3.48646e-06	4.66042e-06	4112.55
8	4.66042e-06	6.15767e-06	6290.43
9	6.15767e-06	8.06722e-06	4408.74
10	8.06722e-06	1.05026e-05	1911.25
11	1.05026e-05	1.36086e-05	796.022
12	1.36086e-05	1.757e-05	489.222
13	1.757e-05	2.26222e-05	532.084
14	2.26222e-05	2.90656e-05	922.758
15	2.90656e-05	3.72834e-05	1995.88
16	3.72834e-05	4.77641e-05	4244.8
17	4.77641e-05	6.1131e-05	7843.4
18	6.1131e-05	7.81787e-05	12198.7
19	7.81787e-05	9.99209e-05	15289.8
20	9.99209e-05	0.00012765	14781.8
21	0.00012765	0.000163016	12068.6
22	0.000163016	0.00020812	7936.08
23	0.00020812	0.000265644	7936.08
24	0.000265644	0.000339009	7936.08
25	0.000339009	0.000432577	7936.08
26	0.000432577	0.000551911	7936.08
27	0.000551911	0.000704107	4310.38
28	0.000704107	0.000898213	4310.38
29	0.000898213	0.00114577	4310.38
30	0.00114577	0.0014615	4310.38
31	0.0014615	inf	4310.38
