time_index	left_time_boundary	right_time_boundary	lambda
0	0	2.13692e-07	8.05404
1	2.13692e-07	4.86229e-07	8.05404
2	4.86229e-07	8.33815e-07	8.05405
3	8.33815e-07	1.27712e-06	8.05404
4	1.27712e-06	1.84249e-06	8.05406
5	1.84249e-06	2.56356e-06	42.2883
6	2.56356e-06	3.48318e-06	605.384
7	3.48318e-06	4.65605e-06	3016.33
8	4.65605e-06	6.15189e-06	5704.74
9	6.15189e-06	8.05965e-06	4769.51
10	8.05965e-06	1.04928e-05	2291.37
11	1.04928e-05	1.35959e-05	933.718
12	1.35959e-05	1.75535e-05	507.238
13	1.75535e-05	2.26009e-05	502.343
14	2.26009e-05	2.90383e-05	872.664
15	2.90383e-05	3.72484e-05	1968.54
16	3.72484e-05	4.77193e-05	4298.24
17	4.77193e-05	6.10736e-05	7967.04
18	6.10736e-05	7.81053e-05	12335.3
19	7.81053e-05	9.98271e-05	15383.6
20	9.98271e-05	0.00012753	14866.4
21	0.00012753	0.000162863	12026.8
22	0.000162863	0.000207924	7735.28
23	0.000207924	0.000265395	7735.28
24	0.000265395	0.000338691	7735.28
25	0.000338691	0.000432171	7735.28
26	0.000432171	0.000551393	7735.28
27	0.000551393	0.000703446	4397.14
28	0.000703446	0.000897369	4397.14
29	0.000897369	0.00114469	4397.14
30	0.00114469	0.00146013	4397.14
31	0.00146013	inf	4397.14
