time_index	left_time_boundary	right_time_boundary	lambda
0	0	2.14718e-07	8.01556
1	2.14718e-07	4.88563e-07	8.01556
2	4.88563e-07	8.37818e-07	8.01555
3	8.37818e-07	1.28325e-06	8.01555
4	1.28325e-06	1.85134e-06	8.01562
5	1.85134e-06	2.57587e-06	35.5568
6	2.57587e-06	3.49991e-06	620.246
7	3.49991e-06	4.67841e-06	3319.05
8	4.67841e-06	6.18143e-06	6251.18
9	6.18143e-06	8.09835e-06	5051.79
10	8.09835e-06	1.05431e-05	2360.63
11	1.05431e-05	1.36611e-05	962.611
12	1.36611e-05	1.76378e-05	530.016
13	1.76378e-05	2.27095e-05	517.97
14	2.27095e-05	2.91778e-05	867.635
15	2.91778e-05	3.74272e-05	1914.3
16	3.74272e-05	4.79484e-05	4183.15
17	4.79484e-05	6.13668e-05	7793.48
18	6.13668e-05	7.84803e-05	12150.8
19	7.84803e-05	0.000100306	15339.7
20	0.000100306	0.000128143	14825
21	0.000128143	0.000163645	11863.3
22	0.000163645	0.000208923	7810.96
23	0.000208923	0.000266669	7810.96
24	0.000266669	0.000340317	7810.96
25	0.000340317	0.000434246	7810.96
26	0.000434246	0.000554041	7810.96
27	0.000554041	0.000706823	5507.59
28	0.000706823	0.000901678	5507.59
29	0.000901678	0.00115019	5507.59
30	0.00115019	0.00146714	5507.59
31	0.00146714	inf	5507.59
