time_index	left_time_boundary	right_time_boundary	lambda
0	0	2.16056e-07	7.96592
1	2.16056e-07	4.91609e-07	7.96592
2	4.91609e-07	8.43041e-07	7.96589
3	8.43041e-07	1.29125e-06	7.96593
4	1.29125e-06	1.86288e-06	7.96589
5	1.86288e-06	2.59192e-06	7.9659
6	2.59192e-06	3.52173e-06	202.752
7	3.52173e-06	4.70757e-06	1684.3
8	4.70757e-06	6.21997e-06	4356.64
9	6.21997e-06	8.14883e-06	4102.65
10	8.14883e-06	1.06089e-05	1949.34
11	1.06089e-05	1.37463e-05	794.676
12	1.37463e-05	1.77477e-05	476.385
13	1.77477e-05	2.2851e-05	537.961
14	2.2851e-05	2.93597e-05	1009.21
15	2.93597e-05	3.76606e-05	2264.04
16	3.76606e-05	4.82473e-05	4644.39
17	4.82473e-05	6.17494e-05	8061.04
18	6.17494e-05	7.89696e-05	12106.2
19	7.89696e-05	0.000100932	15276.4
20	0.000100932	0.000128942	14694.3
21	0.000128942	0.000164665	11608.9
22	0.000164665	0.000210225	7622.46
23	0.000210225	0.000268332	7622.46
24	0.000268332	0.000342439	7622.46
25	0.000342439	0.000436953	7622.46
26	0.000436953	0.000557495	7622.46
27	0.000557495	0.00071123	4199
28	0.00071123	0.0009073	4199
29	0.0009073	0.00115736	4199
30	0.00115736	0.00147628	4199
31	0.00147628	inf	4199
