time_index	left_time_boundary	right_time_boundary	lambda
0	0	2.12429e-07	8.10192
1	2.12429e-07	4.83355e-07	8.10192
2	4.83355e-07	8.28887e-07	8.10193
3	8.28887e-07	1.26957e-06	8.10192
4	1.26957e-06	1.8316e-06	8.10193
5	1.8316e-06	2.54841e-06	33.9013
6	2.54841e-06	3.4626e-06	553.638
7	3.4626e-06	4.62854e-06	2819.14
8	4.62854e-06	6.11554e-06	5355.35
9	6.11554e-06	8.01202e-06	4831.95
10	8.01202e-06	1.04307e-05	2665.95
11	1.04307e-05	1.35155e-05	1179.43
12	1.35155e-05	1.74498e-05	614.579
13	1.74498e-05	2.24674e-05	563.131
14	2.24674e-05	2.88667e-05	955.854
15	2.88667e-05	3.70283e-05	2162.86
16	3.70283e-05	4.74373e-05	4619.5
17	4.74373e-05	6.07127e-05	8174.26
18	6.07127e-05	7.76438e-05	12225.3
19	7.76438e-05	9.92372e-05	15224.8
20	9.92372e-05	0.000126777	14749.4
21	0.000126777	0.0001619	11957.6
22	0.0001619	0.000206696	7903.67
23	0.000206696	0.000263827	7903.67
24	0.000263827	0.00033669	7903.67
25	0.00033669	0.000429617	7903.67
26	0.000429617	0.000548135	7903.67
27	0.000548135	0.000699289	5104.13
28	0.000699289	0.000892067	5104.13
29	0.000892067	0.00113793	5104.13
30	0.00113793	0.0014515	5104.13
31	0.0014515	inf	5104.13
