time_index	left_time_boundary	right_time_boundary	lambda
0	0	2.11411e-07	8.14096
1	2.11411e-07	4.8104e-07	8.14096
2	4.8104e-07	8.24916e-07	8.14093
3	8.24916e-07	1.26349e-06	8.14092
4	1.26349e-06	1.82283e-06	8.14092
5	1.82283e-06	2.5362e-06	21.5393
6	2.5362e-06	3.44601e-06	300.158
7	3.44601e-06	4.60636e-06	1715.92
8	4.60636e-06	6.08624e-06	4483.35
9	6.08624e-06	7.97364e-06	5478.18
10	7.97364e-06	1.03808e-05	3221.09
11	1.03808e-05	1.34508e-05	1205.49
12	1.34508e-05	1.73662e-05	533.432
13	1.73662e-05	2.23598e-05	474.785
14	2.23598e-05	2.87284e-05	831.817
15	2.87284e-05	3.68509e-05	1939.3
16	3.68509e-05	4.721e-05	4298.67
17	4.721e-05	6.04218e-05	8033.84
18	6.04218e-05	7.72718e-05	12556.9
19	7.72718e-05	9.87618e-05	15605.5
20	9.87618e-05	0.00012617	14641.2
21	0.00012617	0.000161125	11665.9
22	0.000161125	0.000205705	8009.12
23	0.000205705	0.000262563	8009.12
24	0.000262563	0.000335077	8009.12
25	0.000335077	0.000427559	8009.12
26	0.000427559	0.000545509	8009.12
27	0.000545509	0.000695939	5278.12
28	0.000695939	0.000887793	5278.12
29	0.000887793	0.00113248	5278.12
30	0.00113248	0.00144454	5278.12
31	0.00144454	inf	5278.12
