time_index	left_time_boundary	right_time_boundary	lambda
0	0	1.26712e-07	8.39553
1	1.26712e-07	2.91168e-07	8.39553
2	2.91168e-07	5.04609e-07	8.39544
3	5.04609e-07	7.81628e-07	8.39544
4	7.81628e-07	1.14116e-06	8.39545
5	1.14116e-06	1.60778e-06	8.39546
6	1.60778e-06	2.2134e-06	8.39544
7	2.2134e-06	2.99941e-06	76.3735
8	2.99941e-06	4.01954e-06	870.436
9	4.01954e-06	5.34354e-06	2606.71
10	5.34354e-06	7.06191e-06	2636.67
11	7.06191e-06	9.29212e-06	1508.64
12	9.29212e-06	1.21866e-05	917.207
13	1.21866e-05	1.59433e-05	900.704
14	1.59433e-05	2.0819e-05	1452.72
15	2.0819e-05	2.7147e-05	2878.7
16	2.7147e-05	3.53599e-05	5299.22
17	3.53599e-05	4.60191e-05	8324.58
18	4.60191e-05	5.98533e-05	11190.9
19	5.98533e-05	7.78083e-05	13028.9
20	7.78083e-05	0.000101111	13495.9
21	0.000101111	0.000131356	13099.2
22	0.000131356	0.000170609	7791.13
23	0.000170609	0.000221554	7791.13
24	0.000221554	0.000287674	7791.13
25	0.000287674	0.000373489	7791.13
26	0.000373489	0.000484866	7791.13
27	0.000484866	0.000629417	2701.54
28	0.000629417	0.000817026	2701.54
29	0.000817026	0.00106052	2701.54
30	0.00106052	0.00137653	2701.54
31	0.00137653	inf	2701.54
