time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	2.4933725e-08	9.97349e-08	124955.773007	12.1272	17635.1623566
1	9.97349e-08	2.1877e-07	1707433.01325	33900.6	1144000.99369
2	2.1877e-07	3.6084e-07	633025.975855	1060010.0	1554407.05763
3	3.6084e-07	5.30402e-07	135160.756297	903893.0	8220.2788266
4	5.30402e-07	7.32776e-07	16044.7003767	1676.09	759.821957079
5	7.32776e-07	9.74313e-07	2712.0183418	1676.09	14.83
6	9.74313e-07	1.26259e-06	872.800723136	12.1267	14.83
7	1.26259e-06	1.60665e-06	18.16884514	12.1267	14.83
8	1.60665e-06	2.01729e-06	17.9725	12.1267	14.83
9	2.01729e-06	2.5074e-06	17.9725	12.1267	14.83
10	2.5074e-06	3.09235e-06	17.9725	12.1267	14.83
11	3.09235e-06	3.7905e-06	18.0316398031	12.1267	14.83
12	3.7905e-06	4.62374e-06	19.4066116421	12.1267	14.9205636074
13	4.62374e-06	5.61823e-06	37.1939967351	12.1267	16.5023475827
14	5.61823e-06	6.80516e-06	455.446743665	12.1267	28.7986587288
15	6.80516e-06	8.22178e-06	732.019389633	12.1267	309.888568944
16	8.22178e-06	9.91254e-06	3884.19865234	12.1267	478.031070199
17	9.91254e-06	1.19305e-05	5653.75688278	12.1267	2248.81456099
18	1.19305e-05	1.43389e-05	11877.7740156	213.289	3330.99170402
19	1.43389e-05	1.72134e-05	16335.4	213.289	7455.21917019
20	1.72134e-05	2.06442e-05	20776.9746622	1924.86	10964.9
21	2.06442e-05	2.47388e-05	25385.9	1924.86	15189.719024
22	2.47388e-05	2.96258e-05	26140.5533201	8369.35	20644.0449533
23	2.96258e-05	3.54585e-05	27313.9793396	8369.35	22408.7764201
24	3.54585e-05	4.24199e-05	26369.9747829	19760.2	25762.407161
25	4.24199e-05	5.07285e-05	24127.4827293	19760.2	25165.5217378
26	5.07285e-05	6.06448e-05	23050.0203861	24194.7	23035.5900697
27	6.06448e-05	7.24801e-05	19653.7556551	24194.7	21846.6774225
28	7.24801e-05	8.66057e-05	18674.0519405	18036.8	17171.9830282
29	8.66057e-05	0.000103465	15214.2205529	18036.8	15964.396277
30	0.000103465	0.000123586	14328.7515824	12481.0	12104.4988959
31	0.000123586	0.000147601	11962.7153119	12481.0	10987.0319891
32	0.000147601	0.000176264	9962.49909494	8645.9	8823.11553551
33	0.000176264	0.000210473	8332.57341891	8645.9	6868.15731217
34	0.000210473	0.000251302	6798.50937368	6138.83	5426.40774089
35	0.000251302	0.000300032	5387.58412046	4743.29	4221.31864278
36	0.000300032	0.000358192	4211.3231972	3556.7	3299.75137481
37	0.000358192	0.000427606	3444.18747287	2646.41	2672.20210139
38	0.000427606	0.000510453	3304.85611302	2035.09	2369.23009094
39	0.000510453	0.000609332	4418.2818048	1729.69	2520.61700898
40	0.000609332	0.000727346	1.67985330897e+62	1761.94	4149.00111939
41	0.000727346	0.000868196	7.72768389339e+62	2364.77	2.66668268828e+62
42	0.000868196	0.0010363	1.51250212818e+63	5722.03	1.44135469097e+63
43	0.0010363	0.0041452	4.74242320534e+63	2.37228e+75	8.7708270915e+63
