relict	western_europe	italy_balkan_caucasus	central_europe	asia	south_sweden	north_sweden	germany	spain	High_Atlas	North_Middle_Atlas	Riff	South_Middle_Atlas	
0.047315	0.0	0.041806	0.0	0.019827	7.8E-5	0.059989	0.05227	0.032852	0.682123	0.0524	0.004736	0.006605	
0.087593	0.0	1.0E-6	1.0E-5	0.007148	0.048593	0.0	0.011281	0.052568	0.63751	0.058695	0.051974	0.044627	
0.024769	0.0	0.112162	0.009368	0.024012	3.0E-6	0.09087	4.5E-5	1.57E-4	0.601618	0.053036	0.026437	0.057523	
0.040905	1.6E-5	0.001884	0.042253	0.039327	0.017648	0.029306	2.44E-4	0.060747	0.621567	0.087227	0.023116	0.035759	
0.013167	0.0	0.065664	0.0	0.054573	0.025412	0.02061	0.014748	0.048827	0.628388	0.09297	0.022232	0.013411	
0.07252	0.0	0.112026	0.0	0.0	8.65E-4	0.0	0.117323	0.067959	0.589178	0.013742	0.019391	0.006996	
0.013345	0.0	0.075451	0.040595	0.066879	0.007477	0.049482	0.0	0.019228	0.586362	0.075243	0.017144	0.048793	
0.013256	0.008933	2.4E-5	7.1E-5	0.073134	0.067942	1.5E-5	0.072009	0.050136	0.609461	0.077514	0.01017	0.017335	
0.026434	0.004994	0.042091	0.024271	0.092641	0.013313	0.027167	0.007975	0.021013	0.613233	0.065322	0.023727	0.037818	
0.031346	0.009604	0.008716	1.9E-5	0.087398	0.022085	0.04286	0.032505	0.050492	0.624156	0.065291	0.022205	0.003323	
