Angle_of_root_tip_displacement_mask	31 4338 0.007095445181963836
Apex_mask	503 74488 0.006707471563254257
Area_chromocenter_mask	186 24245 0.007613278212107568
Area_nucleus_mask	13 2792 0.004634581105169341
Axillary_fruits_mask	502 64229 0.007755171401646816
B_mask	628 73817 0.00843575794210491
Bolting_time_mask	825 98555 0.00830146910847253
Branch_number_mask	21 2535 0.008215962441314555
Callus_weight_mask	150 20963 0.007104627480699096
Ca_mask	262 29218 0.008887381275440977
Cauline_leaf_number_mask	1232 160726 0.007606910433569197
Cd_mask	100 11478 0.008637070305752288
Circadian_rhythm_mask	713 96950 0.0073006153814648336
Co_mask	163 24400 0.0066359972316085165
Cotyledon_angle_mask	0 0 NaN
Cu_mask	88 10121 0.008619845234596924
Cu_tolerance_mask	78 10623 0.007289038407625455
Days_to_budding_BT_mask	146 15556 0.009298178575977582
Days_to_first_true_leaves_DFTL_mask	210 27392 0.007608144337366857
Delta13C_water-use_efficiency_mask	397 47986 0.008205361387264121
Density_chromocenter_mask	46 6722 0.0067966903073286055
Density_nucleus_mask	295 36258 0.008070473011791097
differential_flowering_time_at_predicted_future_700_ppm_versus_current_380_ppm_CO2_mask	237 25402 0.00924373025469012
Early_flowers_mask	294 38706 0.007538461538461538
Fe_mask	298 37439 0.00789675914884596
Flowering_stalk_number_mask	101 11320 0.008843358725155416
Flowering_time_mask	1218 151306 0.007985628491253836
Freezing_tolerance_mask	985 114186 0.00855250019536168
Fructose_sensitivity_mask	654 75659 0.008569968419535334
Fruit_length_mask	481 62051 0.007692061664427813
Germination_mask	559 74974 0.007400738749950353
Glucosinolates_in_seeds_and_leaves_mask	1392 168280 0.008204064312320241
Height_mm_at_time_of_flowering_HFT_mask	672 94358 0.0070714511206987265
Heterogeneity_chromocenter_mask	21 2096 0.009919697685403874
Heterogeneity_nucleus_mask	299 43287 0.006860000917725875
horizontal_root_growth_index_mask	18 2625 0.00681044267877412
Hormone_compounds_mask	1207 151540 0.007901955521221367
Hypocotyl_length_mask	1673 226485 0.007332637908817574
Insect_resistance_mask	571 70807 0.007999663761943455
K_mask	454 69990 0.006444835614104821
lamina_area_mask	77 8000 0.009533242540547233
lamina_length_mask	47 4955 0.00939624150339864
lamina_perimeter_mask	77 8000 0.009533242540547233
lamina_width_mask	246 27396 0.008899500759713479
Lcl_mask	18 2840 0.006298110566829951
Leaf_length_mask	813 111633 0.007230137132490262
Leaf_longevity_mask	303 38708 0.007767040065622516
Leaf_mass_per_area_mask	517 64498 0.007952011074367453
leaf-movement_amplitude_mask	122 15012 0.008061318884630632
Leaf_thickness_mask	442 66044 0.006648016123695214
length_of_reproductive_phase_of_main_axis_mask	116 12766 0.009004812917248875
length_of_the_largest_leaf_mask	261 38833 0.006676216299176344
Li_mask	286 35234 0.008051801801801801
long_stamen_length_mask	54 6092 0.00878620240807029
male-mediated_nonrandom_mating_mask	10 1405 0.007067137809187279
male_seed_yield_mask	229 22335 0.010148909767771672
Mg_mask	291 32973 0.008748196248196248
Mn_mask	457 61774 0.0073436068840288605
Mo_mask	195 29009 0.006677167511299822
Na_mask	454 55523 0.008110473944655841
Number_of_fruits_in_the_main_inflorescence_mask	551 66951 0.008162721104559865
Number_of_seeds_per_fruit_mask	279 28656 0.009642301710730949
Number_of_side_shoots_mask	347 37412 0.009189862019650944
percent_cotyledons_fully_emerged_mask	105 13748 0.007579585649317837
percent_seed_oil_content_mask	169 21347 0.007854619817810002
Perimeter_chromocenter_mask	9 753 0.011811023622047244
Perimeter_nucleus_mask	167 26965 0.006155093616393926
