ABCG30	1 48 0.02040816326530612
ABI1	0 14 0.0
ABI3	0 38 0.0
ACP1	0 12 0.0
AGL13	0 34 0.0
AGL15	0 10 0.0
AGL16	0 18 0.0
AGL17	1 28 0.034482758620689655
AGL27a	0 20 0.0
AGL2	1 19 0.05
AGL31	0 26 0.0
AGL3	0 4 0.0
AGL62	0 18 0.0
AGL8	0 8 0.0
AKT1	1 87 0.011363636363636364
ANAC089	0 44 0.0
AP1	0 25 0.0
AP2	0 23 0.0
AP3	1 20 0.047619047619047616
ARF2	1 10 0.09090909090909091
AT1G13930	2 5 0.2857142857142857
AT1G16510	0 6 0.0
AT1G70820	0 24 0.0
AT2G20970	0 63 0.0
AT2G21850	0 20 0.0
AT2G23400	0 8 0.0
AT2G24580	0 33 0.0
AT2G24830	1 29 0.03333333333333333
ATBETAFRUCT4	1 65 0.015151515151515152
AUF2	0 38 0.0
AXR-1	0 48 0.0
CAL	0 50 0.0
CBF2	0 10 0.0
CKH-1	0 59 0.0
CKX3	1 37 0.02631578947368421
CLV1	0 38 0.0
COL1	0 15 0.0
COL3	1 31 0.03125
COL5	0 28 0.0
COL7	0 18 0.0
COL9	0 15 0.0
CO	0 9 0.0
cPGK2	0 34 0.0
CPT	0 12 0.0
CRA1	1 33 0.029411764705882353
CRY2	1 28 0.034482758620689655
CYP707A2	1 28 0.034482758620689655
DDM1	0 22 0.0
DOG1	0 29 0.0
ELIP2	0 15 0.0
EMF1	0 33 0.0
ERECTA	0 60 0.0
ESD1	0 16 0.0
FAB2	0 32 0.0
FAD2	0 26 0.0
FAD3	0 23 0.0
FAE1	0 4 0.0
FATB	0 5 0.0
FCA	2 34 0.05555555555555555
FD	0 16 0.0
FLC	3 57 0.05
FLD	0 14 0.0
FLS2	1 21 0.045454545454545456
FRI	2 38 0.05
FtsZ2-2	1 75 0.013157894736842105
GA2	1 66 0.014925373134328358
GI	1 30 0.03225806451612903
GL3	0 29 0.0
GPAT5	0 43 0.0
GUN5	0 19 0.0
HD2B	0 33 0.0
HDA6	0 8 0.0
HMA4	0 77 0.0
HMA5	0 45 0.0
HPA1	0 16 0.0
HUA2	0 128 0.0
HY5	0 64 0.0
IGMT3	0 19 0.0
IRE-1	1 21 0.045454545454545456
KNAT4	0 25 0.0
KT6	0 64 0.0
KUP11	0 87 0.0
KUP1	0 65 0.0
LFY	0 5 0.0
Lhcb6	0 20 0.0
LHY	0 9 0.0
LOG2	0 18 0.0
LOG3	0 17 0.0
LPAT5	0 3 0.0
MAF5	0 14 0.0
MDF	0 69 0.0
MEDEA	0 18 0.0
MET1	1 25 0.038461538461538464
MFT	0 6 0.0
MMP	0 45 0.0
MPK12	1 11 0.08333333333333333
MYB75	1 82 0.012048192771084338
NBS1	0 11 0.0
NCED4	0 55 0.0
NLM1	0 88 0.0
OPR1	1 14 0.06666666666666667
PGM2	2 23 0.08
PGM	0 76 0.0
PhyA	0 116 0.0
PhyB	2 94 0.020833333333333332
PhyC	0 28 0.0
PIF3	0 21 0.0
PIL5	2 23 0.08
PPME1	0 22 0.0
PRR3	0 26 0.0
RAV1	0 20 0.0
RFC2	1 47 0.020833333333333332
RFC3	1 14 0.06666666666666667
RFC4	1 18 0.05263157894736842
RPM1	0 30 0.0
RTNLB13	0 37 0.0
SC5	0 31 0.0
SHB1	0 30 0.0
SOMNUS	0 28 0.0
SOS2	0 64 0.0
SPA1	0 74 0.0
SPY	1 18 0.05263157894736842
SQUINT	0 79 0.0
SRR1	0 47 0.0
STM	0 7 0.0
TAT3	0 35 0.0
TITAN3	1 23 0.041666666666666664
TT7	0 43 0.0
TTG1	0 23 0.0
TTG2	1 23 0.041666666666666664
UGT73C1	0 3 0.0
UGT73C5	0 15 0.0
UGT76C2	0 11 0.0
vitamin	0 64 0.0
VRN1	2 8 0.2
VTE4	0 71 0.0
XTH25	0 19 0.0
ZIP3	0 27 0.0
ZIP4	1 4 0.2
ZIP5	0 37 0.0
ZIP6	0 76 0.0
ZTL	0 30 0.0
